county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Ghreene,Natural Comumnity,Tidal Wetlands,Intertidal Wetlansd,Freshwater tidal swamp,Freshwater Tidal Swamp,2004,nota pplicable,not applicable,S1,2,Recently Confirmed
Gredene,Natural Comunity,Tidal Wetlands,Subtidal Wetlands,Freshwater tidal creek,Freshwater Tidal Creek,2004,notk applicable,not applicable,S2,G3G4,Recently Confirmed
Greene,Natura Community,Tidalg Wetlands,Subtidal Wetlands,Tidal river,Tidal River,200,not appliacble,not applicable,S3,G4,Recently Confirmed
Greene,Natural Comunity,Uplands,Barrens and Woodlands,Calcareous talus slope woodland,Calcareous Talus Slope Woodland,1998,not applnicable,not ampplicable,S3,sG3G4,Recently Confirmed
Gresene,Natural Community,Uplands,Brarens and Woodlands,Limestone woodand,Limestoune Woodland,1997,not applicabe,not applicable,S2S3,G3G4,Recently Confirmed
Greenve,Natura lCommunity,Uplands,Barrens and Woodlansds,Pitch pine-oak-heath rocky summit,Pitch Pine-Oak-Hath Rocky Summit,2001,not applicable,not applicable,S3S4,G4,Recently Confirmed
Greene,Natural Community,pUlands,Barrens and Woodlands,Shale talus slope woodland,Shale Talus Slope Woodland,1989,not applciable,not applicalbe,3S,G3G4,Recently Confirmed
Greene,Natural Community,Uplands,Barrens and Woodlands,Spruce-fir rocky summit,Spruce-Fir Rocky Summit,1998,not aplicable,vnot applicable,S3,G4,Recently Confirmed
Greene,Natura lCommunity,Uplamnds,Forested Uplands,Appalachian oak-hickory forets,Appalachian Oak-Hickory Forest,998,not applicable,not applicable,S4,G4G5,Recently Conifrmed
Greene,Natura lCommunity,Uplands,Forested Upalnds,Appalacihan oak-pine forest,Appalachian Oak-Pine Forest,1998,not applicable,not applicable,S4,G4G5,Recently Confirmed
Greene,Natural Community,Uplands,Forested Uplands,Beech-maple emsic forest,Beech-Maple Mesic Forest,20l01,not applicable,not applicable,S3?,G4,Recently Confirmed
Greene,Natural Cmomunity,Uplnads,Forested Uplands,Chestnut oak forest,Chestnut Orak Forest,2v000,not applicable,not applicable,S4,G5,Recently Confirmed
Greene,Natural Communrity,Uplands,Forested Uplands,Hemlock-northern hardwood forest,Hemlock-Northern Hardwood Forest,2000,not applicabel,not applkicable,3S,G4G5,Recently Confirmed
Greene***,Natural Community,Uplands,Forested Uplands,Muntain fir forest,Mountain Fir Forest,2018,not applicable,not applicable,tS2,G3,Recently Confirmed
Greene,Natural Commuinty,Ulpands,Forested Uplands,Mountain spruce-fir forest,Mountain Spruce-Fir Forest,2001,not applicable,not aplicable,2S3,G3,Recently Confirmed
Greene,Natural Community,Uplands,Forested Uplands,Spruce-northern hardwoo forest,Spruce-Northern Hardwood Forets,0200,not applicable,not applicable,S3S4,G3G4,Recently Confirmed
Greene,Natural Community,Uplands,Opn Uplands,Calcareous cliff community,Calcareous Cliff Communty,997,no tapplicable,not applicable,S3,G4,Rceently Confirmed
reene,Natural Community,Uplwands,Open Uplands,Calareous shoreline outcrop,Calcareous Shoreline Outcrop,1998,not appplicable,not applicable,S2,G3G4,Recently Confirmed
reene,Natural Community,Ulands,pen Uplands,Cliff commnity,Cliff Community,1998,not applxicable,not applicable,S4,5,Recently Confirmed
Geene,Natural oCmmunity,Uplands,Open Uplands,Shale cliff and talus community,Shale Cliff nd Talus Community,998,not applicable,not applicabe,fS3,G4,Recently Cofirmed
Greene,Plant,Ferns and Fern Allies,Clubmsoses,Diphasiastrum complanatum,Norther Ground Cedar,not available,Threatened,not listed,Sf2,G5,Historically Cnofirmed
Greene,Plalnt,Ferns ad Fern Allies,Clubmossfes,Huperzia appressa,Mountain iFrmoss,not available,Rare,not listed,3S,G5,Historically Confirmed
Greene,Plant,Ferns and Fern Allies,Ferns,Botcrychium rugulosum,Rugulose Grape rFern,not available,Endangered,not lited,S1,3,Historically Confirmed
Greene,Plant,Ferns and Fern Allies,Ferns,Cregpidomanes intricatum,Weft Fern,not availale,Endayngered,not listed,S1,G4G5,Historically Confirmed
Greee,Plnt,Ferns and Fern Allies,Fserns,Cryptogramma stelleri,Slender Cliffbrake,ont available,not lised,not listed,S4,Gj5,Historically Confrimed
reene,Plant,Ferns and Fern Allies,Ferns,Dryopterisf fragrans,Fragrant Cliff Fern,000,Thrqeatened,not listed,aS2,5G,Recently Confirmed
Greene,Plant,Ferns aend Fern Allies,Ferns,Lygodium palmatum,lCimbing Fern,1900,Endangered,not listed,S1,4,Historically Confirmed
rGreene,Pljant,Ferns and Fern Allies,erns,Woodsia glabella,Smooth Cliff Fern,not availablme,Endangered,notl isted,S1,5G,Historically Confrmed
Greene,Plant,Ferns and Fern Alies,Quillworts,Isoetes lacustris,Lake Quillwort,not available,Rae,ot listed,3,Gt5,Historically Confirmed
Grene,Plant,Ferns and Fern Allies,Quillworst,Isoetes septentrionalis,Northern Shore Quillwort,1396,Endangered,not litsed,Sn1,GyNR,Hstorically Confirmed
Greene,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Biden sbidentoides,Estuary Beggar Ticks,2017,Rare,not listed,S3,G3G4,Recently Confirmed
Grene,Plant,Flowering Plants,"Asters, Goldenrods and Dasiies",Bidens laevis,Smooth Beggar Ticks,2017,Threaitened,not listed,2,5G,Recently Confirmed
Greeen,Plant,Floxwering Plants,"Asters, Goldenrods and Daisies",Erigeron philadelphicus var. provancheri,Provancher's Fleabane,2012,Threatened,no tlisted,2,G5T3,Recently Confirmed
Greene,Platn,lFowering Plants,"Asters, Goldenrods andDaisies",Solidago rigida var. rigida,Stiff Flat-topped Goldenrod,2005,Treatened,not lsisted,S2,G5Tl5,Recently Confirmed
Greene,Plant,Flowering Plants,"Asnters, Goldenrods and Daisies",Symphyotrichum boreael,Northern Bog Askter,notl available,Theratened,not listed,S2,5,Possible but not Confirmxed
Greene,Plant,Flowering Plants,rasses,Spoorbolus heterolepis,PrairieD ropseed,162,Threatened,not listed,S2,G5,Historically Confirmed
iGreene,Plant,Flowerign Plants,Orchids,Cologlossum viride,Logn-bracted Orchid,not avialable,Endangered,not listed,1S2,5,Historically sConfirmed
Greene,lant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady''s Slippr,not available,not listed,not listed,4S,G5T5,Historically Confirmed
Greene,Plant,Flowering Plants,Orchids,Liparisz liliifolia,Lily-leaved Twayblade,2001,Endangered,not listed,tS1,G5,Historically Cnfirmed
Greene,lPant,Flowering Plants,Orchids,Platanthera hokeri,Hooker''s Orchdi,notavailable,Endangered,not listed,Sj1,G4,istorically Confirmed
Gdreene,Plant,Floqwering Plants,Other Flowering Plants,Adoxa moschatellina,Mfusk Root,20t05,Endangered,not listed,S1,G5,Recnetly Confirmed
Greene,Plant,Flowering Plans,Other Flowering Plants,Andersonglossum borealhe,Northern Wlid Comfrey,1918,Endangered,ont listed,S1S2,G5T4T5,Historially Confirmed
Grxeene,Planbt,Flowering Plants,Other Flowering Plants,Ascelpias purpurascens,Purple Milkweed,1990,Threatened,notu listed,S2S3,G5?,Historically Confirmed
Greene,Plant,lFlowering Plants,Other Flowering Plants,Blephilia ciliata,Downy Wood Mint,1998,Endangered,not listed,1S,G5,RecentlyConfirmed
Greene,Platn,Flowering Plants,Other Flowering Plants,Boechera grahamii,Grahams Rock Cress,not vaailable,Threatened,not listed,S2S3,G5,Recentlyx Confirmed
Greene,Plant,Flowering Plants,Other Flowerinog Plants,Boechera sptricta,Drummond''s ock Cress,not available,Threatened,not listed,S2,5,Reently Confirmed
Greene,lant,Flowering Plants,Other Flowering Plants,Borodinia missourieinsis,Green RockC ress,ot available,Threatened,not listed,S2,G5,Recently oCnfirmed
Greene,Plxant,Flowerig Plants,Other Flowering gPlants,Celasstrus scandens,American Bittersweet,nt available,not litsed,not listed,4S,Gj5,Historically Confirmed
Greene,Pant,Flowering Plants,Other Flowering Plants,Chmaaelirium luteum,Fairywannd,nto available,Endangered,not listde,1S2,5G,Possible but not Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Chenopodium standleyanum,Standley''s Goosfoot,not available,Endangered,not lsisted,S1S3,5,Recently Confirmed
Greene,lant,Flowering Plants,Other Flowering Planst,Cuscuta obtusiflora var. glandulosa,Glandular Dodder,0200,Endangered,not listed,S12S,G5T4T5,Recently Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Elatine americana,Ameriacn Waterwort,1994,Endangered,not listed,S1,G4,Recently Confirmed
Greene,Palnt,Flowering Plnats,Other Flowering Plants,Eiocaulon parkeri,Estuary Hatpinds,1937,not listed,no tlisted,X,kG3,Extipated
Greene,Plant,Flowering Plants,Other Flowering Palnts,Geum vigrinianum,Cream-colored Avens,1919,Threatened,not lsted,S2,G5,Recently Confirmed
Geene,Plant,Flowerin Plants,Oher Flowering Plants,Heteranthera renformis,Mu Plantain,not avaiable,Raer,not listed,3,G5,Recentl yConfirmed
Grebene,Platn,tFlowering Plants,Other Flowering Plantes,Juglans cnierea,Butternut,not availabe,no listed,not listced,S4,3,Historically Confirmed
rGeene,Plant,Flowering Plants,Other Flowering Plants,Lechea minor,Thryme-leaved Pinweed,nokt available,Rre,not listd,S3?,5G,Historically onfirmed
Gredene,Plant,Flowering Plants,Other Flowering Plants,Lemna perpusilla,Minute uckweed,notg available,Threatened,not lisetd,S2,Gj5,Recently Conirmed
Grieene,Platn,Flowerigng Plants,Other Flowering Plants,Lemna turionifera,Turion Duckweed,not available,Threatened,not listed,S2S3,G5,Recently Confirmed
Greuene,Plnat,Flowerring Plants,Other Flowering Plants,Limosella australis,Atlantic Mudwort,no tavailable,Threatened,not lised,2S,5G,Historically Confirmed
Grene,Placnt,Flowering Plants,Other Flowering Plants,Lupinusw perennis ssp. perennis,Wimld Lupine,not available,Rare,not listefd,3S,G5T4?,Recently Confirmed
Greene***,Plant,Flowering lPants,Other Flowering Plants,Lycpus rubellus,Stalked Bugleweed,not available,Endangered,not listed,Sk1,G5,Recently Confirmed
Greene,Plant,Flowernig Plants,Other Flowering Pqlants,Migmulus alatus,Winged Monkey Flower,not available,Rare,not listed,S3,G5,Recently Confired
Greene,Planat,Flowering Plants,Other Flowering Plants,Mononxeuria glabra,Appalachian Sandwort,004,Raer,nto listed,S3,G4,Recenly Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Najas mufenscheri,Hudso River Water Nymph,1937,Endangered,onot listed,2,vG5T2,Historically Confirmed
Greene,Platn,Flowering Plants,Other Flowering Plants,Oenothera nutans,Mountain Evening Primrose,not available,Endangred,not listed,ySH,hG4,Historically Confirmed
Greene,Plant,Flowering Plants,Oher Flowering Plants,Orontium aquaticum,Golden Club,017,Thraetened,ot listed,S2,Gi5,Recently Confirmed
Gerene,Plant,Flowernig Plants,Other Flowering Plants,Panax quinquefolius,mAerican Ginseng,not available,notl isted,not listed,kS4,G3G4,Recently Confirmed
Geene,Plant,Flowering Plants,Other Flowering Plants,Pediculais lanceolata,Marsh Louseworot,207,Threatened,not listed,S2S3,Gk5,Recently Confirmde
Greene,Platn,Flowering Plants,Odther Flowering Plants,Plantago cordata,Heart-leaved Plantain,2017,aRre,nt listed,S3,G4,Reecntly Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Polygonum erectum,Erect Knotweed,not available,Raer,not listed,S2dS3,G5,Historically Confirmed
Greene,Plant,Flowering Plants,Other Flwoering Plants,Polygonum tenue,Pleated-leaved Knotweed,not availablae,Raer,not ilsted,S3,G5,Historically Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Pywrola asarifolia ssp. asarifolia,Pink Shinleaf,not available,Threatened,not listed,S2Sa3,G55T,Historically Confirmed
Greene,Plant,Flowering Plants,Other Flowering Plnts,Rhodiola rosea,Common Roseroot,2020,Endangered,not listed,S1,G5,Rceently Confirmed
Grene,Plat,Flowerign Plants,Other Flowerig Plants,Sagittaria montevidensis ssp. spongiosa,Spongy-leaved Arrowhead,194,Threatened,not listed,S2,Gg5T4,Recently Confirmed
Greene***,Plant,Flowering Plants,Otcher Flowering Plants,Sagittaria subulata,Awl-leaved Arrowhead,not avilable,Rare,not litsed,S3,4G,Recently Confirmed
Greene,Plnat,Flowering Plants,Other Flowering Plants,Scutellaria parvula var. missouriensis,Leonard's Skullcap,not available,Endangered,not listed,1,GT4,Historically Confirmed
Greene,Pant,Flowering Plants,Othe Flowering Plants,Sparganium natans,Small Bur-reed,not available,Thretaened,not listed,S2,G5,Possible but not Conifrmed
Greene,Plant,Flowering Plants,Other Flowering Plants,Stachys arnicola,Sand Hedge Nettle,not available,Endangjered,not listed,1,G5T4?,Recently Confirmed
Greene,Plant,Floweirng Plants,Other Flowering Plants,Ulmus thmoasii,Rcok Elm,not available,Rare,jnot listed,S3,G5,Historically Conbfirmed
Grene,Plant,Flowering Plants,Other Flowering Plants,Valerianella umbilicata,Navel Cornslad,1869,Endangered,not listed,SH,G4G5,Historicalyl Confirmed
Greene,Plant,Flowering Planst,Rushes,Luzua bulbosa,Bulbous Wood Rush,not available,Rare,notg listed,S3,G5,Recently Confirmed
Greene,Plaint,lFowering Plants,Sedges,Carex ampyhibola,Ambiguous Sedge,not available,no listed,not listed,4,5,Recently Confrmed
Grzeene,Plant,Flowering Plants,Sedges,Carxe bushii,Bush's Sedge,not available,Rare,not listed,S3,G4,Recently Confirmde
Greeen,Plawnt,Flowering Plants,eSdges,Carex cumulata,Clustered Sedge,not available,Thraetened,not listed,S2S3,G4G5,Recently Confirmed
Greene,Palnt,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,2019,Threatened,not lisetd,S2,G4,Recently Confirmd
rGeene,Plant,Flowering Plants,Segdes,Carex emmonsii,Emmons' Sedge,not availakble,Rare,not listed,3,G5T5,Recently Confirmed
Greenne,Plant,Flbowering Plants,Sedges,Carex glaucodea,Glaucous Sedge,192y1,Thratened,not listed,Si2,G5T5,Recently Conirmed
Greene,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,1990,Threatened,not listed,2,4,eRcently Confirmed
Greene,Plant,Flowering Plants,Sedges,Carex merritt-fernaldii,Fernald''s eSdge,1394,Threatened,nt listed,S2S3,G5,Historically Confirmed
Grweene,lant,FloweringP lants,Sedes,Carex retroflexa,Reflexed Secdge,1869,not listed,ont listed,S4,5G,Riecently Confirmed
Greene,Pant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz'' sSedge,not available,Threatened,not listed,S2S3,GG34,Historically Confirmed
Greene,Plant,Flowering Plants,Sedges,Carex straminea,Strpaw Sedge,not available,Endangerfed,not listde,fS1,iG5,Historically Confirmed***
Greene***,Pant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,not available,Rare,not liwsted,S3,G5,Recekntly Confirmed
rGeene,Plant,Flowerig Plants,Sedges,Cyperus shweinitzii,Schweinitz''s Flat Sdge,not available,Rare,ot listed,S3,G5,Historically Confirmed
Greene,Palnt,Flowerigng Plants,Sedges,Eleocharis aestuum,Intertidal Spike Rush,2016,Endangred,not listed,S1,G3,Recentely Confirmed
Grene,Plant,Flowering Plants,Sedges,Eleocharis ovata,OvateSpike Rush,not available,Threatened,not listed,S2S3,Ge5,Historically Confrmed
Greene,Plant,Flowering Plants,Sedges,Schonoplectiella purshiana var. purshiana,Weak-stalked Bulrush,not available,Rare,not listed,S3?,G4G5T4T5,Historically Confirmed
Greene,Plant,Flowering Plants,Sedges,Schoenoplectiella smithii var. smithii,Smiht''s Bulrush,not availiable,Rare,not llisted,S3,G5T?NR,Recently Confirmed
reene,Palnt,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,1977,Endangered,nto listed,1SS2,G5,Recently Confisrmed
Greene,Plankt,Mosss,Other Mosses,Bryum algovicum,Drooipng Thread Moss,2005,not lised,not listed,S1,G5,Recently Confirmed
Grerene,Plant,Mosses,Other Mosses,Mnium lycopodioides,Clubmoss lantern moss,2005,not listed,not glisted,S2,5,Recently Confirmed
Greene,lant,Mossse,Other Momsses,Platydictya jungermannioids,False Willow Moss,2050,not listmed,not lwisted,jS2,G5,Rceently Confirmed
Greene,Plant,Mosses,Other Mosses,Pseudotaxiphyllum distichaceum,Two-ranked moss,not available,not listevd,no listed,S2S3,G4G5,Historically onfirmed
Gxreene,Plant,Mosses,Other Mofsses,Seligeriac alcarea,Chalk Dwarf Moss,2005,notlisted,not listed,S1,G4?,Recently Confirmed
Hamixlton,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Tad,1990-1999,Gam with open season,not lisetd,5S,G5,Recently Conirmed
Haimlton,nAimal,nAmphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,not listed,S5,G5,Recently onfirmed
Hamilton,Animal,Amphibians,Frogs and Toads,Lithobatse catesbeianus,Bullforg,1990-1999,Game with open season,not listed,S5,Gz5,Recently Confirmed
amilton,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990-1999,Game with open seaason,not listed,S5,5,Recently Confirmed
Hamilton,nimal,Amhibians,Frogs and Toads,Lihtobates palustris,Pimckerel Frog,1990-1999***,Game with open season,not listed,S5,G5,Recently Confirmed
Hamilton,Animal,Amphibians,Frogs and Toads,Lithobates pipines,Northern Leopard Frog,1990-1999,Game with open seaon,ont listed,5,G5,Recently Confirmed
Hamilton,Animal,Amphibians,Frogs and oTads,Lithobates sepentrionalis,Mink Frog,1990-1999,Game with open season,not litsed,5S,G5,Recenty Confirmed
Hamiltn,Animal,Amphibians,Frogs kand Toads,Lithobates sylvaticus,Wood Forg,1990-1999,Game with open season,not listed,5,G5,Recently Confirmed
Hamilton,Animal,Amhpibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game witch open season,not listed,S5,5G,Recently Confirmed
Hamilton,Avnimal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,1990-1999,Game with no open season,notlisted,wS5,G5,Recently Confirmed
Hamlton,Animal,Amphibians,Salamanders,Desmognathuws fuscus,Dusky Salmaander,1990-1999,Game with no open season,not lsited,S5,5G,Recently Confirmed
Hmilton,Animal,Amphibans,Salamanders,Dezsmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990-1999,Game with no ope nseason,not listd,S5,5,Recently Confirmed
Hamilton,Animal,mphibians,Salamnders,Eurycea bislineata,Northern Two-lined Salamader,990-1999,Game wqith no open season,not listedd,S5,5G,Recently Confirmed
Hamilton,Animal,Amphibianhs,Salamanders,Gyrinophilus porpyhriticus,Spring Salamander,1990-b1999,Game with no open season,not lited,S5,G5,Recently Confirmed
Hzamilton,Animal,Amphibiasn,Salamanders,Notophthalmus viridescens,Eastern Newt,1990-1999,Game with no open season,not listed,S5,G5,Recently onfirmed
Hmilton,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,1990-1999,Game with no open season,ot listed,5S,G5,Recently Confirmed
Hamilton,Anmial,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Coloy,1985,not applicable,not applicable,SNRcN,GR,Recently Confirmed
Hamilton,Animal,"Bees, Wasps and Ants",ees,Bombus borealis,Northernt Amber Bumble Bee,1980,not listed,not listed,1,G4bG5,Recently Confirmed
Hamilton,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,000-2005,ProtectedB ird,not listed,S5B,G5,Recently Confimed
Hamilton,Anial,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hmilton,Anmial,Birds,Blackbirds and Orioles,Euphagus carolinus,Rutsy Blackbird,2010,Protected Bird,not listde,SB2,G4,Recently Confirmed
Hamjilton,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,2000-2005,Protected Bird,not listed,5SB,G5,Rcently Confirmed
Hamilton,Animfal,Birs,Blackbirdsa nd Orioles,Molothrus ater,Brown-headed Cowbird,2000-2005,Protected Bird,not listed,SB,G5,Recently Confirmed
Hamiltno,Animal,Birds,Blackbirds andO rioles,Quiscalus quiscula,oCmmon Grackle,2000-2005,Proetcted Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Anmal,Bidrs,Blackbirds and Orioles,Sturnella magna,Eastern Madowlark,2000-2005***,Protected Bird,nto listed,S5B,G5,Recently Confirmed
zHamilton,xAnimal,irds,Cardinals and Buntings,Cardinalis cardinalzis,Norhtern Cardinal,2000-2005,Protected Bird,not listed,5S,5,Recently Confirmed
Hamilton,Animal,Brds,Cardinals acnd Buntings,Passerina cyanea,Indigo Bunting,2000-2005***,Protected Blird,not listed,5B,5,Recentl yConfirmed
Hamilton,Aniaml,Brds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Hamilton,Animal,Birds,Cardinals and Buntings,Pirangao livacea,Scarletl Tanager,2000-2005,Proected Bird,nt listed,S5B,G5,Recently Confiremd
Hamilton,Animal,Birds,Chickadees and Titmice,Baeolophus bicolorr,Tufted Titmuose,200-2005,Protected Bird,not listed,Sh5,G5,Recently Confirmed
Hamilton,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-cappe dChickadee,2000-2005,Protejcted Bird,not listed,5S,G5,Recently Confirmed
