4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
7755.statevalue,N,TN
571.typeofchangefulltext,Scondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
4470.county,Picens,Pickens
4778.city,Tzampa,Tampa
5967.geocodecitylevel,"Aulburndale, FL
(28.062333, -81.788689)","Auburndale, FL
(28.062333, -81.788689)"
4651.geocodecitylevel,"Pennsauken, NJ
(3.964412, -75.056054)","Pennsauken, NJ
(39.964412, -75.056054)"
2170.city,Palmvew,Palmview
2398.psapname,Winslow Police Deaprtment,Winslow Police Department
3622.datelastmodified,03/0/42004,03/04/2004
3861.typeofchangefulltext,No Changes have bene made.,No Changes have been made.
6461.datelastmodified,1q0/05/2017,10/05/2017
6646.geocodecitylevel,"Windsor, CO
(4x0.479957, -104.907678)","Windsor, CO
(40.479957, -104.907678)"
309.geocodecitylevel,"Valencia, CA
(34.39444, -118.564722)","Valencia, CA
(34.389444, -118.564722)"
7408.city,Lancastre,Lancaster
2813.geocodecitylevel,"Fairfax, VA(
38.847183, -77.306292)","Fairfax, VA
(38.847183, -77.306292)"
2753.statevalue,DI,ID
6886.datelastmodified,12/19/2103,12/19/2013
5597.datelastmodified,z03/04/2004,03/04/2004
1474.typeofchangefulltext,No Changes havez been made.,No Changes have been made.
88.typeofchangefulltext,No Chanes have been made.,No Changes have been made.
3032.psapname,Lake Creek-skwenta rFirst Responders,Lake Creek-skwenta First Responders
4053.county,t. Johns,St. Johns
1019.datelastmodified,03/04/204,03/04/2004
7626.county,uron,Huron
6208.datelastmodified,03/042004,03/04/2004
3297.datelastmodified,0304/2004,03/04/2004
2441.typeofchangefulltext,PSAP aws added since the original posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
6041.statevalue,HO,OH
2034.city,Fairield,Fairfield
3287.county,Cambell,Campbell
5438.typeofchangefulltext,No Chnges have been made.,No Changes have been made.
2537.statevalue,YN,NY
3644.psapname,North Wilkesboro Police Commuications,North Wilkesboro Police Communications
3674.city,Ricmond Hill,Richmond Hill
7442.county,Hinsds,Hinds
2435.typeofchangefulltext,Orphaned PSAP no longer considerd a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3904.county,aGray,Gray
8232.city,Polon,Polson
7882.psapname,Ft Worth PoliceD epartment,Ft Worth Police Department
3164.city,Carrolltbon,Carrollton
958.statevalue,wFL,FL
8152.psapname,Mifield Police Department,Midfield Police Department
6196.statevalue,WbI,WI
3405.county,St.Clair,St. Clair
3669.county,St.n Louis,St. Louis
2509.statevalue,I,MI
6156.psapname,Joint Basxe San Antonio - Lackland,Joint Base San Antonio - Lackland
2651.statevalue,A,LA
2704.datelastmodified,80/20/2004,08/20/2004
2870.statevalue,L,FL
382.geocodecitylevel,"Chattanooga, TN
(35.05756, -85.308287)","Chattanooga, TN
(35.045756, -85.308287)"
6330.psapname,Courthouse In Pait Rock,Courthouse In Paint Rock
5738.typeofchangefulltext,"PSAP Name, State, County sor City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1436.statevalue,N,TN
4385.psapname,Pinevlle Police Department,Pineville Police Department
7988.city,Roselel,Roselle
1039.city,San Jse,San Jose
6154.geocodecitylevel,"aLwrenceville, NJ
(40.283199, -74.731772)","Lawrenceville, NJ
(40.283199, -74.731772)"
8281.datelastmodified,03/042/004,03/04/2004
2159.psapname,Kingsu County Sheriff (hanford),Kings County Sheriff (hanford)
4729.city,Patluxent River,Patuxent River
7317.typeofchangefulltext,No Changeshave been made.,No Changes have been made.
6415.county,Rockladn,Rockland
2973.statevalue,OM,MO
1867.county,Weake,Wake
5397.county,Jhnson,Johnson
3505.city,Eaglse,Eagle
8534.geocodecitylevel,"Novato, CA
(38.109189, -12.578257)","Novato, CA
(38.109189, -122.578257)"
7931.datelastmodified,03/042/004,03/04/2004
4661.datelastmodified,03/04/0204,03/04/2004
3367.typeofchangefulltext,No Changes have beenn made.,No Changes have been made.
5111.datelastmodified,06/24/214,06/24/2014
1833.typeofchangefulltext,No Changes haveb een made.,No Changes have been made.
2664.city,Leadner,Leander
5469.geocodecitylevel,"Bartlesville, OK
(36.75076, -95.944392)","Bartlesville, OK
(36.75067, -95.944392)"
1225.city,Summeville,Summerville
3927.statevalue,rIN,IN
4153.typeofchangefulltext,"PSAP Name, State, County or City txt has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2303.city,Entrprise,Enterprise
3418.city,Ibsleta,Isleta
1519.county,Waye,Wayne
7436.statevalue,J,NJ
344.statevalue,kCO,CO
8389.city,Dobfbs Ferry,Dobbs Ferry
7221.geocodecitylevel,"Clarence, NY(42.980973, -78.587248)","Clarence, NY
(42.980973, -78.587248)"
3092.typeofchangefulltext,No Changes have been mae.,No Changes have been made.
2463.datelastmodified,0/20/2004,04/20/2004
2799.psapname,Lafayette County Sheriffs Officke,Lafayette County Sheriffs Office
7519.datelastmodified,03/04/200m4,03/04/2004
8322.psapname,Brigham City Poilce Department Dispatch,Brigham City Police Department Dispatch
36.county,alloway,Calloway
2126.typeofchangefulltext,Secondary PSAP assocaited with a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
3493.county,Mariposma,Mariposa
6708.county,Smmit,Summit
7492.typeofchangefulltext,No Changesk have been made.,No Changes have been made.
2643.county,Midlnad,Midland
6395.psapname,St Charles County Police Debpartment,St Charles County Police Department
7717.typeofchangefulltext,No Chnages have been made.,No Changes have been made.
4669.datelastmodified,03/04u/2004,03/04/2004
773.datelastmodified,11/1/02015,11/10/2015
2831.county,Davdson,Davidson
4942.typeofchangefulltext,Orphaned PSAPh no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8230.datelastmodified,08/132013,08/13/2013
4628.statevalue,K,OK
1149.geocodecitylevel,"Westcliffe, CO
(38.13s0929, -105.463886)","Westcliffe, CO
(38.130929, -105.463886)"
8184.statevalue,Y,NY
361.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in futre filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1168.geocodecitylevel,"Harvard MA
(42.495971, -71.582363)","Harvard, MA
(42.495971, -71.582363)"
5745.county,Druham,Durham
6497.datelastmodified,12/18/2007***,12/18/2007
6925.statevalue,IcD,ID
6750.county,Morrw,Morrow
4301.datelastmodified,10/05/207,10/05/2017
2744.psapname,Knox County Seriffs Office,Knox County Sheriffs Office
6759.typeofchangefulltext,No Changes have been maed.,No Changes have been made.
4379.datelastmodified,03/u04/2004,03/04/2004
4697.statevalue,nCA,CA
8016.geocodecitylevel,"Ft Atkinson, WI
(4.929876, -88.837019)","Ft Atkinson, WI
(42.929876, -88.837019)"
1162.psapname,Olahte Police Department,Olathe Police Department
3996.statevalue,XT,TX
8509.statevalue,SM,MS
8400.psapname,Winter Hven Fire Department,Winter Haven Fire Department
6185.county,Berghen,Bergen
1266.geocodecitylevel,"Chubbuck, yID
(42.920491, -112.466421)","Chubbuck, ID
(42.920491, -112.466421)"
7513.datelastmodified,0d3/04/2004,03/04/2004
3617.geocodecitylevel,"Tampa, FL
(27.947423, -2.458776)","Tampa, FL
(27.947423, -82.458776)"
8162.typeofchangefulltext,No Changes havle been made.,No Changes have been made.
7715.psapname,"Central Communiactions, Inc.","Central Communications, Inc."
2220.city,Fairifeld,Fairfield
2512.geocodecitylevel,"Port Richey, L
(28.272736, -82.720813)","Port Richey, FL
(28.272736, -82.720813)"
3535.typeofchangefulltext,PSAP was added since the original postixng of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
3908.typeofchangefulltext,"PSAP Name, State, County or City text has been modtified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
2053.psapname,Andesen Air Force Base Local Dispatch Center,Andersen Air Force Base Local Dispatch Center
4173.county,cSott,Scott
5499.psapname,Clark CountyS heriffs Office,Clark County Sheriffs Office
8405.city,Chrdon,Chardon
5723.psapname,Kickapoo Tribal Police eDpartment,Kickapoo Tribal Police Department
7874.datelastmodified,4/20/2004,04/20/2004
3866.statevalue,A,CA
662.city,wGooding,Gooding
5351.statevalue,NT,TN
7677.county,DeS oto,De Soto
3437.typeofchangefulltext,"PSAP Name, State, County r City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4157.typeofchangefulltext,No Changs have been made.,No Changes have been made.
7896.psapname,Rockland County Sherfif Communications,Rockland County Sheriff Communications
1649.city,Santa Ana qPueblo,Santa Ana Pueblo
2094.city,Lexintgon,Lexington
6307.datelastmodified,081/8/2016,08/18/2016
6396.statevalue,X,TX
3699.datelastmodified,03/4/2004,03/04/2004
4497.geocodecitylevel,"Moore, OK
(35.338274,- 97.488365)","Moore, OK
(35.338274, -97.488365)"
4781.statevalue,IM,MI
6732.psapname,Phillipsburg Town Police Deprtment,Phillipsburg Town Police Department
4737.psapname,North Carolina State Highway Patrol Communictaions-martin,North Carolina State Highway Patrol Communications-martin
1871.county,eBrkshire,Berkshire
8066.statevalue,JN,NJ
7403.datelastmodified,03/04/204,03/04/2004
881.psapname,Ft Lee Borough Police Dpeartment,Ft Lee Borough Police Department
2348.statevalue,X,TX
3707.datelastmodified,0x3/04/2004,03/04/2004
2961.datelastmodified,0415/2010,04/15/2010
1789.datelastmodified,03/042004,03/04/2004
1486.typeofchangefulltext,No wChanges have been made.,No Changes have been made.
4320.geocodecitylevel,"Boca Raton, FL
(26.35052, -80089831)","Boca Raton, FL
(26.35052, -80.089831)"
3410.county,urry,Surry
2582.psapname,Middletiown Central Communications,Middletown Central Communications
1420.datelastmodified,05/m02/2016,05/02/2016
1869.psapname,Smith County Sheriffs Depatrment,Smith County Sheriffs Department
281.geocodecitylevel,"Hato Rey ,PR","Hato Rey, PR"
5582.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using therse in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3686.datelastmodified,09/1/2016,09/21/2016
2085.statevalue,N,IN
4672.geocodecitylevel,"Gastonia, NC
(35.26217, -81.18j71)","Gastonia, NC
(35.26217, -81.1871)"
5534.city,Yulee***,Yulee
481.psapname,Crssett Fire Department,Crossett Fire Department
4213.typeofchangefulltext,Orphaned PSAP no longer consgidered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
5103.geocodecitylevel,"Mraicopa, AZ
(33.055807, -112.045721)","Maricopa, AZ
(33.055807, -112.045721)"
7895.psapname,Hildale/colorado iCty Communications Center,Hildale/colorado City Communications Center
898.geocodecitylevel,"NJ
(40.104655, 7-4.386686)","NJ
(40.104655, -74.386686)"
1087.typeofchangefulltext,No Changes have been mdae.,No Changes have been made.
276.city,Brookfielxd,Brookfield
4155.typeofchangefulltext,bNo Changes have been made.,No Changes have been made.
1660.typeofchangefulltext,"PSAP Name, State, County or City text has been odified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
483.datelastmodified,04/15/20x10,04/15/2010
324.city,iDxon,Dixon
1418.datelastmodified,03/04/2004***,03/04/2004
917.typeofchangefulltext,No Changes havue been made.,No Changes have been made.
2365.county,Coweata,Coweta
342.city,ashington,Washington
328.typeofchangefulltext,"PSAP iName, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4315.psapname,eMadows Police Department,Meadows Police Department
6671.statevalue,uAK,AK
6870.datelastmodified,04/01/2001,04/01/2010
5012.psapname,Vernon Parisyh Communications,Vernon Parish Communications
167.city,Cranstozn,Cranston
154.county,Tippceanoe,Tippecanoe
1074.typeofchangefulltext,PSAP was added since the original posting of he FCC Registry.,PSAP was added since the original posting of the FCC Registry.
2934.typeofchangefulltext,Orphaned PSAP no loger considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4284.county,tShelby,Shelby
6411.typeofchangefulltext,Secondary PSAP associated witha  Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
6219.datelastmodified,1/06/2011,12/06/2011
1764.psapname,Stanislaus Regionla 9-1-1 (modesto),Stanislaus Regional 9-1-1 (modesto)
3754.geocodecitylevel,"New Britain, CT
(41.667528, -7b2.783437)","New Britain, CT
(41.667528, -72.783437)"
2052.geocodecitylevel,"Redding, CT
(41.304131, 7-3.379918)","Redding, CT
(41.304131, -73.379918)"
3745.psapname,Orange Coutny Sheriff,Orange County Sheriff
4812.typeofchangefulltext,No Changes have beenm ade.,No Changes have been made.
1149.psapname,Custer County Sheriffs Ofice,Custer County Sheriffs Office
50.datelastmodified,03/04/2040,03/04/2004
3581.psapname,Annapolis CityP olice Department,Annapolis City Police Department
2078.statevalue,NT,TN
8193.geocodecitylevel,"Bgedford, IN
(38.861023, -86.488781)","Bedford, IN
(38.861023, -86.488781)"
6221.datelastmodified,12/03/2040,12/03/2004
2873.geocodecitylevel,"Camden, N
(36.057841, -88.097495)","Camden, TN
(36.057841, -88.097495)"
8073.county,Monmuoth,Monmouth
7685.datelastmodified,07/242017,07/24/2017
7012.statevalue,SM,MS
1083.geocodecitylevel,"Farmyington, UT
(40.980489, -111.88758)","Farmington, UT
(40.980489, -111.88758)"
2334.psapname,Evangelinke Parish Sheriff,Evangeline Parish Sheriff
7298.geocodecitylevel,"Richmond, VA
(37.540759, -77.43332)","Richmond, VA
(37.540759, -77.433932)"
3951.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering piont. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
7770.statevalue,JN,NJ
4916.county,Orage,Orange
2957.city,Coxllinsville,Collinsville
6438.typeofchangefulltext,Orphaned PSAP no longer ocnsidered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1882.typeofchangefulltext,"PSAP Name, State, County or City text has been modifiedsince the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
652.statevalue,C,NC
1357.statevalue,IM,MI
7530.typeofchangefulltext,PSAP was added since the original postinng of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
5017.psapname,MontaguePolice,Montague Police
7432.typeofchangefulltext,No Changes hahve been made.,No Changes have been made.
7457.datelastmodified,03/40/2004,03/04/2004
2678.statevalue,C,NC
2012.geocodecitylevel,"Princeton, KY
(37.110743, -87.882367)","Princeton, KY
(37.110743, -87.882376)"
6428.city,Cutlear,Cutler
