3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
752.address_one,6406 GRADEL N,6406 GRADE LN
2853.personpremise,DOLLAR TREE #9144,DOLLAR TREE #1944
219.request_date,2020/0/429 03:59:59+00,2020/04/29 03:59:59+00
4404.activity_type_desc,FIELkD,FIELD
1895.activity_date,2020/11/12 05:00:l00+00,2020/11/12 05:00:00+00
4602.request_date,2021/0104 05:00:00+00,2021/01/04 05:00:00+00
3755.request_date,2021/03/1 603:59:59+00,2021/03/16 03:59:59+00
3943.address_one,4030 TAYLORSVILLE DR,4030 TAYLORSVILLE RD
1638.address_one,4948 IDXIE HWY,4948 DIXIE HWY
3474.personpremise,WENDS,WENDYS
440.address_one,2001 S 7TH T,2001 S 7TH ST
3141.address_one,3801 BSHOP LN,3801 BISHOP LN
2040.activity_type_desc,FIgELD,FIELD
4279.personpremise,MCODNALD'S,MCDONALD'S
2365.personpremise,FIE STAR FOOD MART,FIVE STAR FOOD MART
4689.activity_date,2021/05/03 03:5:59+00,2021/05/03 03:59:59+00
1853.address_one,2300 W BRUNETT AVE,2300 W BURNETT AVE
2187.activity_type_desc,IFELD,FIELD
265.activity_date,2200/05/14 03:59:59+00,2020/05/14 03:59:59+00
4195.address_one,1070 4DIXIE HWY,10704 DIXIE HWY
4555.address_one,43 2E JEFFERSON ST,432 E JEFFERSON ST
3412.activity_date,20201/0/14 03:59:59+00,2020/10/14 03:59:59+00
984.activity_type_desc,FIEDL,FIELD
1287.request_date,2020/07/03 03:95:59+00,2020/07/03 03:59:59+00
2479.request_date,2020/1/125 05:00:00+00,2020/11/25 05:00:00+00
705.activity_date,2020/08/26 03:9:59+00,2020/08/26 03:59:59+00
3252.request_date,2020/11/06 05:000:0+00,2020/11/06 05:00:00+00
1474.address_one,970 lPALATKA ROAD,970 PALATKA ROAD
389.personpremise,WNDYS,WENDYS
3296.activity_type_desc,FIEkLD,FIELD
1621.request_date,2020/04/16 03:59:5+900,2020/04/16 03:59:59+00
3642.request_date,2020/07/13 03:5:59+00,2020/07/13 03:59:59+00
152.personpremise,LOWEoS,LOWES
2986.address_one,420 E AMRKET ST,420 E MARKET ST
3083.activity_type_desc,FILED,FIELD
97.personpremise,BuANDIDO'S TAQUERIA MEXICANA,BANDIDO'S TAQUERIA MEXICANA
1449.personpremise,HOME EPOT,HOME DEPOT
4211.personpremise,RED ROIBN,RED ROBIN
2596.activity_date,20200/9/09 03:59:59+00,2020/09/09 03:59:59+00
977.request_date,20200/5/18 03:59:59+00,2020/05/18 03:59:59+00
680.personpremise,TWO VANS RAE SET UP ACROSS FROM,TWO VANS ARE SET UP ACROSS FROM
3784.address_one,102 W MAINy ST,102 W MAIN ST
3278.personpremise,xWILD EGGS,WILD EGGS
2488.personpremise,SPEEDWAY 9685,SPEEDWAY #9685
3910.request_date,200/05/01 03:59:59+00,2020/05/01 03:59:59+00
90.personpremise,MdEIJER #160,MEIJER #160
606.request_date,2020/0b4/27 03:59:59+00,2020/04/27 03:59:59+00
2593.address_one,11201 ELECTRONDR,11201 ELECTRON DR
1525.personpremise,WALMART 6931,WALMART #6931
1841.activity_type_desc,FELD,FIELD
1540.address_one,k301 YORK ST,301 YORK ST
1311.activity_type_desc,FELD,FIELD
179.personpremise,CAMNAILS,CAM NAILS
2110.personpremise,BROADGROCERY,BROAD GROCERY
1326.activity_type_desc,dFIELD,FIELD
1465.address_one,409 E MUHAMMAD LI BLVD,409 E MUHAMMAD ALI BLVD
3061.activity_type_desc,FILD,FIELD
3917.activity_type_desc,IELD,FIELD
4317.request_date,2020/12/05 05:00:q00+00,2020/12/05 05:00:00+00
2624.request_date,2020/08/05 3:59:59+00,2020/08/05 03:59:59+00
1229.activity_type_desc,IELD,FIELD
1399.request_date,2020/0/513 03:59:59+00,2020/05/13 03:59:59+00
2762.request_date,2020/12/07 05:00:00+0,2020/12/07 05:00:00+00
936.request_date,2020/05/04 3:59:59+00,2020/05/04 03:59:59+00
1472.activity_date,2020/4/13 03:59:59+00,2020/04/13 03:59:59+00
3206.address_one,9701e DIXIE HWY,9701 DIXIE HWY
4259.personpremise,RIVER RAOD BBQ,RIVER ROAD BBQ
3356.personpremise,IRISH lROVER CLUB,IRISH ROVER CLUB
1051.activity_date,2020/07/15 03:59:95+00,2020/07/15 03:59:59+00
1763.activity_type_desc,FIEDL,FIELD
2303.activity_date,2020/70/22 03:59:59+00,2020/07/22 03:59:59+00
2427.activity_type_desc,FELD,FIELD
3102.request_date,2020/10/0 03:59:59+00,2020/10/09 03:59:59+00
3011.personpremise,BRECKENRIDGE INN rHEALTH CLUB,BRECKENRIDGE INN HEALTH CLUB
3870.request_date,202005/20 03:59:59+00,2020/05/20 03:59:59+00
2991.address_one,i919 BAXTER AVE,919 BAXTER AVE
763.activity_date,2020/w05/14 03:59:59+00,2020/05/14 03:59:59+00
414.request_date,2020/05/20 03:59:5900,2020/05/20 03:59:59+00
221.request_date,2020/04/24 03:9:59+00,2020/04/24 03:59:59+00
3621.activity_date,2020/06/03 03:59:p59+00,2020/06/03 03:59:59+00
984.address_one,4701 SH URSTBOURNE LN,4701 S HURSTBOURNE LN
3454.activity_type_desc,FIEDL,FIELD
3464.personpremise,HEINE BROTHERS COFFEE***,HEINE BROTHERS COFFEE
4081.activity_date,201/02/12 05:00:00+00,2021/02/12 05:00:00+00
2428.activity_date,2020/08/24 0359:59+00,2020/08/24 03:59:59+00
2765.address_one,3101 BdRECKENRIDGE LN,3101 BRECKENRIDGE LN
3366.address_one,2220 7THS T RD,2220 7TH ST RD
4008.activity_date,2020/11/24 0w5:00:00+00,2020/11/24 05:00:00+00
3342.activity_type_desc,FIEDL,FIELD
2976.activity_type_desc,FIELuD,FIELD
3857.address_one,541 MARTIN ST,2541 MARTIN ST
1289.activity_date,2020/07/10 03:5:59+00,2020/07/10 03:59:59+00
1738.activity_date,2020/7/16 03:59:59+00,2020/07/16 03:59:59+00
2771.personpremise,SHORTY'S FOOD MART #u4,SHORTY'S FOOD MART #4
2815.request_date,2020/11/11 05:00:0+000,2020/11/11 05:00:00+00
3328.request_date,2020/08/05 03:5:959+00,2020/08/05 03:59:59+00
140.personpremise,JTOaWN BEACH,JTOWN BEACH
2867.address_one,024 S 3RD ST,3024 S 3RD ST
4581.activity_date,2020/1205 05:00:00+00,2020/12/05 05:00:00+00
4321.personpremise,WENDYkS,WENDYS
1837.activity_type_desc,FyIELD,FIELD
2059.address_one,3620 KLONDIK ELN,3620 KLONDIKE LN
225.activity_date,2020/5/13 03:59:59+00,2020/05/13 03:59:59+00
672.address_one,4220 BARDSTOWNe RD,4220 BARDSTOWN RD
2968.address_one,1617 MAPLE SdT,1617 MAPLE ST
3353.request_date,2020/10/16 0:59:59+00,2020/10/16 03:59:59+00
2974.address_one,2630 GLkEESON LN,2630 GLEESON LN
124.address_one,2407 S SHELBYb ST,2407 S SHELBY ST
2586.activity_date,2020/0/812 03:59:59+00,2020/08/12 03:59:59+00
831.address_one,11801 INnTERCHANGE DR,11801 INTERCHANGE DR
2925.personpremise,AeIRBNB,AIRBNB
3557.activity_type_desc,jFIELD,FIELD
518.activity_date,2020/04/14 03:5959+00,2020/04/14 03:59:59+00
1823.address_one,700 CENTRAL VE,700 CENTRAL AVE
603.address_one,1302 TREVILIANW AY,1302 TREVILIAN WAY
4165.personpremise,KROGER L-l763,KROGER L-763
4236.request_date,2020/12/30 05:00:00+0,2020/12/30 05:00:00+00
4463.address_one,2204 wHEATHER LN,2204 HEATHER LN
1139.activity_type_desc,FELD,FIELD
69.personpremise,VON tSUBS,VON SUBS
4375.request_date,2021/i05/11 03:59:59+00,2021/05/11 03:59:59+00
4116.activity_type_desc,FIEoLD,FIELD
2908.activity_date,2020/08/18 03:59:5+900,2020/08/18 03:59:59+00
2068.request_date,2020/07/24 03:5:959+00,2020/07/24 03:59:59+00
1567.address_one,4601 WATTBORNE LANE,4601 WATTBOURNE LANE
3843.request_date,2020/04/21 03:5:959+00,2020/04/21 03:59:59+00
1015.activity_type_desc,IFELD,FIELD
3961.activity_type_desc,FIED,FIELD
2143.request_date,2020/11/18 0k5:00:00+00,2020/11/18 05:00:00+00
3805.activity_date,2020/11/180 5:00:00+00,2020/11/18 05:00:00+00
3020.address_one,2930 BRECKENRpIDGE LN,2930 BRECKENRIDGE LN
3541.activity_type_desc,wFIELD,FIELD
1044.activity_type_desc,FIED,FIELD
2554.activity_date,2020/08/01 03:59:59+00***,2020/08/01 03:59:59+00
3965.activity_date,2020/12/15 05:00:00+h00,2020/12/15 05:00:00+00
1920.activity_type_desc,oFIELD,FIELD
4513.address_one,4931W  PAGES LN,4931 W PAGES LN
3300.personpremise,NEIL HUFFMAjN COLLISION,NEIL HUFFMAN COLLISION
4704.address_one,231 eE COLLEGE ST,231 E COLLEGE ST
3835.request_date,0220/11/13 05:00:00+00,2020/11/13 05:00:00+00
3634.address_one,5608 UOTER LOOP,5608 OUTER LOOP
3518.activity_type_desc,FEILD,FIELD
2242.activity_type_desc,FEILD,FIELD
4696.activity_date,2020/08/22 03:59:59+00***,2020/08/22 03:59:59+00
3481.address_one,1f821 W JEFFERSON ST,1821 W JEFFERSON ST
2453.activity_type_desc,rFIELD,FIELD
3385.request_date,2020/102/9 03:59:59+00,2020/10/29 03:59:59+00
288.address_one,2716 FRANKORT AVE,2716 FRANKFORT AVE
1880.activity_type_desc,FIEmLD,FIELD
2222.activity_date,2020/9/22 03:59:59+00,2020/09/22 03:59:59+00
2716.activity_date,2020/11/1 05:00:00+00,2020/11/10 05:00:00+00
1341.activity_type_desc,FIEcLD,FIELD
4496.activity_date,2020/1/023 03:59:59+00,2020/10/23 03:59:59+00
1853.activity_type_desc,FIEDL,FIELD
3691.request_date,202v0/12/03 05:00:00+00,2020/12/03 05:00:00+00
1549.activity_type_desc,IFELD,FIELD
3485.address_one,4TH STREETLIVE,4TH STREET LIVE
1079.activity_type_desc,FIEDL,FIELD
2742.personpremise,OYALS CHICKEN,ROYALS CHICKEN
4627.activity_type_desc,IELD,FIELD
612.activity_type_desc,FIED,FIELD
3733.request_date,2020/08/29u 03:59:59+00,2020/08/29 03:59:59+00
2248.personpremise,TELEPERFROMANCE USA,TELEPERFORMANCE USA
2328.address_one,2222 BARDSTOWNRD,2222 BARDSTOWN RD
4593.activity_type_desc,IELD,FIELD
4440.activity_type_desc,FELD,FIELD
1274.request_date,2020/05/06 03:9:59+00,2020/05/06 03:59:59+00
2850.activity_type_desc,IELD,FIELD
1841.activity_date,2020/09/02 03:59:95+00,2020/09/02 03:59:59+00
3774.address_one,1720 RICHMONDDR,1720 RICHMOND DR
2003.request_date,202008/12 03:59:59+00,2020/08/12 03:59:59+00
3376.request_date,2002/10/12 03:59:59+00,2020/10/12 03:59:59+00
323.activity_date,2020/0q7/20 03:59:59+00,2020/07/20 03:59:59+00
2682.address_one,3420 BRDSTOWN RD,3420 BARDSTOWN RD
3036.request_date,2020/07/20 03:59w:59+00,2020/07/20 03:59:59+00
2899.request_date,2020/10/14 03:59:59+c00,2020/10/14 03:59:59+00
1675.address_one,6310 BARDSOTWN RD,6310 BARDSTOWN RD
4521.activity_type_desc,FIExLD,FIELD
4083.activity_date,2021/03/08 05:00:0n0+00,2021/03/08 05:00:00+00
3344.activity_type_desc,FIdELD,FIELD
3934.personpremise,"STANvLEY, SCHULZ & CO.","STANLEY, SCHULZ & CO."
979.request_date,2020/07/1303:59:59+00,2020/07/13 03:59:59+00
4168.address_one,5015 PRESTONHWY,5015 PRESTON HWY
4505.personpremise,FIVE STAR FOOD MAdRT,FIVE STAR FOOD MART
508.request_date,020/07/27 03:59:59+00,2020/07/27 03:59:59+00
659.activity_date,2020/06/12 03:59t:59+00,2020/06/12 03:59:59+00
1461.request_date,2002/07/30 03:59:59+00,2020/07/30 03:59:59+00
2588.activity_type_desc,eFIELD,FIELD
3127.activity_date,020/08/20 03:59:59+00,2020/08/20 03:59:59+00
457.activity_date,2020/05/08 03:5s9:59+00,2020/05/08 03:59:59+00
2576.request_date,2020/0/30 03:59:59+00,2020/07/30 03:59:59+00
1392.activity_type_desc,FIxELD,FIELD
3547.request_date,220/12/08 05:00:00+00,2020/12/08 05:00:00+00
3491.activity_type_desc,IELD,FIELD
2637.activity_date,2020/08/25 035:9:59+00,2020/08/25 03:59:59+00
2064.activity_date,2020/07/27 03:a59:59+00,2020/07/27 03:59:59+00
4292.personpremise,VW POST 1181,VFW POST 1181
4022.activity_date,2012/04/23 03:59:59+00,2021/04/23 03:59:59+00
2098.activity_type_desc,IFELD,FIELD
633.activity_date,2020/07/21 03:5n9:59+00,2020/07/21 03:59:59+00
1788.request_date,2020/04/72 03:59:59+00,2020/04/27 03:59:59+00
2000.activity_type_desc,iFIELD,FIELD
3979.activity_date,2020/11/17 05:0:00+00,2020/11/17 05:00:00+00
2476.activity_type_desc,FIEwLD,FIELD
124.activity_type_desc,IELD,FIELD
1257.personpremise,WAFFLE OUSE #174,WAFFLE HOUSE #174
3487.activity_type_desc,IELD,FIELD
406.address_one,138 BEECH ST,1381 BEECH ST
4400.address_one,731 BRENTS T,731 BRENT ST
2110.request_date,2020/10/130 3:59:59+00,2020/10/13 03:59:59+00
1141.activity_date,2020/04/15 03:59:59+0,2020/04/15 03:59:59+00
42.request_date,202n0/05/20 03:59:59+00,2020/05/20 03:59:59+00
1429.personpremise,CPATAIN D'S #3329,CAPTAIN D'S #3329
1149.activity_type_desc,FILED,FIELD
4245.activity_date,2021/042/3 03:59:59+00,2021/04/23 03:59:59+00
3751.activity_date,2021/02/01 05:0g0:00+00,2021/02/01 05:00:00+00
4475.personpremise,GRB N GO,GRAB N GO
548.personpremise,SPCTRUM,SPECTRUM
4019.request_date,2020/12/28 50:00:00+00,2020/12/28 05:00:00+00
572.activity_date,2020/0422 03:59:59+00,2020/04/22 03:59:59+00
1154.activity_date,2020/04/16 0:359:59+00,2020/04/16 03:59:59+00
2941.activity_type_desc,IFELD,FIELD
2277.activity_date,200/12/03 05:00:00+00,2020/12/03 05:00:00+00
2706.activity_date,020/11/24 05:00:00+00,2020/11/24 05:00:00+00
3906.personpremise,SPEEDWAY #9660,SPEEDWAY #9606
2714.activity_date,2020/07/25 03:5k9:59+00,2020/07/25 03:59:59+00
2633.request_date,2020/08/07 03:59:s59+00,2020/08/07 03:59:59+00
1785.address_one,11909 DIyXIE HWY,11909 DIXIE HWY
4703.personpremise,JEFFESON MALL,JEFFERSON MALL
3221.personpremise,4TH & CENTRAL FOOD MART***,4TH & CENTRAL FOOD MART
984.request_date,2020/0t6/23 03:59:59+00,2020/06/23 03:59:59+00
678.address_one,2020B ASHFORD MANOR LN,2020 BASHFORD MANOR LN
554.activity_date,2020/04/07 03:59:5900,2020/04/07 03:59:59+00
4282.address_one,17263 RD STREET AVENUE,1726 3RD STREET AVENUE
3442.activity_date,2020/08/08 0359:59+00,2020/08/08 03:59:59+00
4234.address_one,2925 BROWNSBORO sRD,2925 BROWNSBORO RD
906.address_one,z12339 SHELBYVILLE RD,12339 SHELBYVILLE RD
3536.address_one,462 S 4TH ST STE6 00,462 S 4TH ST STE 600
415.personpremise,SUBvWAY,SUBWAY
595.activity_type_desc,IELD,FIELD
2104.request_date,2020/09/21 0:59:59+00,2020/09/21 03:59:59+00
4205.personpremise,DOLLAR GENEARL #17154,DOLLAR GENERAL #17154
859.request_date,200/04/20 03:59:59+00,2020/04/20 03:59:59+00
2067.address_one,913w NEW LAGRANGE RD,913 NEW LAGRANGE RD
888.personpremise,GREEN HAVEN CEjMETERY,GREEN HAVEN CEMETERY
2531.address_one,2h721 S HURSTBOURNE PKWY,2721 S HURSTBOURNE PKWY
2466.personpremise,SPEEDWfAY #9783,SPEEDWAY #9783
2370.request_date,2020/08/04 03:59:590+0,2020/08/04 03:59:59+00
4434.address_one,112 S FLOYD ST,1123 S FLOYD ST
4423.activity_date,2020/1w2/09 05:00:00+00,2020/12/09 05:00:00+00
3954.activity_date,2020/11/12 h05:00:00+00,2020/11/12 05:00:00+00
1611.activity_date,0220/04/08 03:59:59+00,2020/04/08 03:59:59+00
2421.activity_date,2020/11/19 05:00:0q0+00,2020/11/19 05:00:00+00
3815.request_date,2020/q09/10 03:59:59+00,2020/09/10 03:59:59+00
3534.request_date,20g20/11/09 05:00:00+00,2020/11/09 05:00:00+00
88.request_date,2020/0/504 03:59:59+00,2020/05/04 03:59:59+00
2585.request_date,2020/0805 03:59:59+00,2020/08/05 03:59:59+00
3764.request_date,2020/12/02 0q5:00:00+00,2020/12/02 05:00:00+00
1478.request_date,2020/04/2403:59:59+00,2020/04/24 03:59:59+00
2280.request_date,2020/10/28 03b:59:59+00,2020/10/28 03:59:59+00
758.address_one,8120 ROUTT OAD,8120 ROUTT ROAD
2339.activity_date,2020/07/22 03:5959+00,2020/07/22 03:59:59+00
958.activity_date,2020/05/q22 03:59:59+00,2020/05/22 03:59:59+00
3079.activity_type_desc,FIEDL,FIELD
3528.address_one,1821 Wj JEFFERSON ST,1821 W JEFFERSON ST
3167.activity_date,2020/08/04 03:59:t59+00,2020/08/04 03:59:59+00
922.request_date,2020/0/401 03:59:59+00,2020/04/01 03:59:59+00
1599.activity_date,20k20/05/28 03:59:59+00,2020/05/28 03:59:59+00
2153.address_one,11806SHELBYVILLE RD,11806 SHELBYVILLE RD
3439.personpremise,SOUTHEAST CHRISTIAN CUHRCH,SOUTHEAST CHRISTIAN CHURCH
3492.address_one,11600 BLUEGRASS PWY,11600 BLUEGRASS PKWY
4010.personpremise,JEFFERSONTOW NHIGH SCHOOL,JEFFERSONTOWN HIGH SCHOOL
1134.request_date,220/07/20 03:59:59+00,2020/07/20 03:59:59+00
1373.request_date,2020/05/21 03:595:9+00,2020/05/21 03:59:59+00
135.personpremise,DILLARDS***,DILLARDS
3272.activity_type_desc,IELD,FIELD
1231.request_date,2020/07/16 03:59:5+00,2020/07/16 03:59:59+00
1460.activity_type_desc,FILED,FIELD
639.personpremise,SAMS' CLUB #8111,SAM'S CLUB #8111
787.address_one,6413 MUD LN,4613 MUD LN
708.activity_date,2020/07/27 03:59d:59+00,2020/07/27 03:59:59+00
610.activity_type_desc,FIEDL,FIELD
232.personpremise,EMW WOMEN'S SURGICAL CNETER,EMW WOMEN'S SURGICAL CENTER
1526.address_one,4520 POPLAR LEVE LROAD,4520 POPLAR LEVEL ROAD
3199.address_one,7562 DXIIE HWY,7562 DIXIE HWY
4532.request_date,202101/27 05:00:00+00,2021/01/27 05:00:00+00
1081.activity_type_desc,FEILD,FIELD
3404.activity_date,c2020/09/14 03:59:59+00,2020/09/14 03:59:59+00
1154.request_date,2020/04/16 03:59:59+0k0,2020/04/16 03:59:59+00
767.address_one,6407 BARDSTONW RD,6407 BARDSTOWN RD
392.address_one,652 SOUTHSIDE DR,6502 SOUTHSIDE DR
1448.activity_date,2020/07/4 03:59:59+00,2020/07/14 03:59:59+00
492.request_date,020/04/09 03:59:59+00,2020/04/09 03:59:59+00
2104.activity_date,202u0/10/05 03:59:59+00,2020/10/05 03:59:59+00
3790.activity_type_desc,FILD,FIELD
4319.address_one,4700 yQUINN DR,4700 QUINN DR
3215.request_date,2020/12/22 05:0w0:00+00,2020/12/22 05:00:00+00
2688.personpremise,MV TRASNPORTATION,MV TRANSPORTATION
4065.activity_type_desc,FELD,FIELD
908.activity_date,2020/06/23 03:59:5+00,2020/06/23 03:59:59+00
2980.activity_date,2020h/11/05 05:00:00+00,2020/11/05 05:00:00+00
1487.address_one,1700 ACRGO CT,1700 CARGO CT
4614.address_one,2716 RGASSLAND DR,2716 GRASSLAND DR
2962.activity_type_desc,IELD,FIELD
1787.activity_date,2020/o04/23 03:59:59+00,2020/04/23 03:59:59+00
1903.activity_type_desc,FILED,FIELD
1305.request_date,2020/04/15 03:59:5+900,2020/04/15 03:59:59+00
32.request_date,202/004/30 03:59:59+00,2020/04/30 03:59:59+00
320.address_one,4600 SHEBLYVILLE RD,4600 SHELBYVILLE RD
830.request_date,2b020/05/05 03:59:59+00,2020/05/05 03:59:59+00
3483.personpremise,WAFFLE HOUS E#221,WAFFLE HOUSE #221
1864.request_date,202007/14 03:59:59+00,2020/07/14 03:59:59+00
3637.personpremise,COVER ALL bCAFE,COVER ALL CAFE
1119.personpremise,SEPEDWAY #9511,SPEEDWAY #9511
1785.activity_type_desc,FELD,FIELD
4561.address_one,100 OXMOOR T,100 OXMOOR CT
2104.activity_type_desc,IELD,FIELD
2249.activity_date,2w020/12/30 05:00:00+00,2020/12/30 05:00:00+00
199.activity_date,2020/z05/06 03:59:59+00,2020/05/06 03:59:59+00
664.personpremise,CREcSCENT HILL CRAFT HOUSE,CRESCENT HILL CRAFT HOUSE
2350.personpremise,hDOLLAR GENERAL #9448,DOLLAR GENERAL #9448
449.activity_type_desc,FIEDL,FIELD
2238.address_one,3937 DIvXIE HWY,3937 DIXIE HWY
3507.address_one,315 EBROADWAY,315 E BROADWAY
4258.personpremise,BI GO TIRES,BIG O TIRES
4529.personpremise,THE GRANVILLEPUB,THE GRANVILLE PUB
2535.address_one,4132W  BROADWAY,4132 W BROADWAY
3551.address_one,930 W CHESTNTU UNIT 301,930 W CHESTNUT UNIT 301
1911.address_one,5330 S 3RDh ST,5330 S 3RD ST
4289.activity_date,2021/03/05 050:0:00+00,2021/03/05 05:00:00+00
699.address_one,2117 W CHESTNUTi ST,2117 W CHESTNUT ST
1392.personpremise,BARBR SHOP,BARBER SHOP
3437.address_one,222i1 HIKES LN,2221 HIKES LN
101.address_one,2710 W BwROADWAY,2710 W BROADWAY
1587.personpremise,UPSf WORLDPORT,UPS WORLDPORT
3416.request_date,2020/11/17 05:00:j00+00,2020/11/17 05:00:00+00
1846.address_one,10503 TIMBERWOOjD CIR,10503 TIMBERWOOD CIR
3774.activity_type_desc,IFELD,FIELD
4456.activity_date,2021/06/21 03:s59:59+00,2021/06/21 03:59:59+00
3537.activity_type_desc,IELD,FIELD
3808.personpremise,CIRCLE K #47d03232,CIRCLE K #4703232
3221.address_one,3004 S4TH ST,3004 S 4TH ST
1266.activity_date,2020/04/28 03:5g9:59+00,2020/04/28 03:59:59+00
1413.address_one,13301 SHELBVILLE RD,13301 SHELBYVILLE RD
1431.activity_date,2020/04/28 03a:59:59+00,2020/04/28 03:59:59+00
905.personpremise,MCDOlNALD'S,MCDONALD'S
2204.request_date,020/08/31 03:59:59+00,2020/08/31 03:59:59+00
3448.address_one,1013 DIXIE HWY,10103 DIXIE HWY
2066.address_one,7562DIXIE HWY,7562 DIXIE HWY
1403.address_one,4701 S RD ST,4701 S 3RD ST
4094.activity_date,2020/11/18 05:00:00+x00,2020/11/18 05:00:00+00
1331.activity_type_desc,FIED,FIELD
2309.address_one,7900 SHELBYVILLE DR,7900 SHELBYVILLE RD
2810.activity_date,200/11/10 05:00:00+00,2020/11/10 05:00:00+00
183.personpremise,ACQUA WELLNESS***,ACQUA WELLNESS
4327.activity_type_desc,FILED,FIELD
1960.activity_date,2020/04/16 03:59:5h9+00,2020/04/16 03:59:59+00
3845.activity_type_desc,FELD,FIELD
4113.personpremise,KIA SThORE,KIA STORE
4661.activity_date,2021/02/01 0500:00+00,2021/02/01 05:00:00+00
2583.personpremise,CHECK MSART,CHECK SMART
2683.request_date,2020/09/01 03:595:9+00,2020/09/01 03:59:59+00
592.activity_type_desc,FEILD,FIELD
3318.personpremise,ROGER L-763,KROGER L-763
2727.request_date,2020/11/18 05:00:00+00***,2020/11/18 05:00:00+00
4256.request_date,202/12/22 05:00:00+00,2020/12/22 05:00:00+00
3473.request_date,i2020/09/11 03:59:59+00,2020/09/11 03:59:59+00
3077.address_one,167 S SHELBY ST,1567 S SHELBY ST
666.activity_date,220/07/28 03:59:59+00,2020/07/28 03:59:59+00
2612.address_one,10445D IXIE HWY,10445 DIXIE HWY
4410.activity_date,2020/11/10 05:00:00+0l0,2020/11/10 05:00:00+00
1745.activity_type_desc,tFIELD,FIELD
143.activity_type_desc,FmIELD,FIELD
1174.request_date,2a020/04/27 03:59:59+00,2020/04/27 03:59:59+00
4148.activity_type_desc,FIkELD,FIELD
855.activity_date,20l20/04/10 03:59:59+00,2020/04/10 03:59:59+00
1218.personpremise,METRO PSC,METRO PCS
397.address_one,4009 POLPAR LEVEL RD,4009 POPLAR LEVEL RD
4289.address_one,2301 BRENNEN BUSINES CT,2301 BRENNEN BUSINESS CT
4668.request_date,2021/04/30 03v:59:59+00,2021/04/30 03:59:59+00
1013.personpremise,ERSIDENCE,RESIDENCE
4172.personpremise,MT CARMEL APARTMEkNTS,MT CARMEL APARTMENTS
3619.request_date,20201/1/24 05:00:00+00,2020/11/24 05:00:00+00
2436.address_one,4637 OUTER LOOP,4673 OUTER LOOP
1692.activity_type_desc,IELD,FIELD
2389.personpremise,CREATION KNGDOM,CREATION KINGDOM
3155.activity_date,2020/1007 03:59:59+00,2020/10/07 03:59:59+00
4100.personpremise,RESIDENCE NN,RESIDENCE INN
499.address_one,5520 NATIONL TURNPIKE,5520 NATIONAL TURNPIKE
1875.address_one,220 S 18qTH ST,220 S 18TH ST
2403.address_one,4149 TAYLORB LVD,4149 TAYLOR BLVD
1343.request_date,020/05/12 03:59:59+00,2020/05/12 03:59:59+00
4667.request_date,2021/04/20 0:59:59+00,2021/04/20 03:59:59+00
3553.activity_type_desc,FIED,FIELD
285.personpremise,SCHULTE HOSPITALITY kGROUP,SCHULTE HOSPITALITY GROUP
361.request_date,2020/04/06 03:9:59+00,2020/04/06 03:59:59+00
53.address_one,2626 PORTLANbD AVE,2626 PORTLAND AVE
4019.activity_date,2020/1y2/29 05:00:00+00,2020/12/29 05:00:00+00
1249.personpremise,THE FATCORY GYM,THE FACTORY GYM
4041.activity_date,2020/12/02 05:00:0+000,2020/12/02 05:00:00+00
1036.activity_date,20200/5/15 03:59:59+00,2020/05/15 03:59:59+00
3940.personpremise,MEIJEaR #162,MEIJER #162
4059.request_date,200/03/26 03:59:59+00,2020/03/26 03:59:59+00
1729.activity_type_desc,FIED,FIELD
4231.activity_type_desc,FILD,FIELD
3626.request_date,2020/06/01 0j3:59:59+00,2020/06/01 03:59:59+00
2609.request_date,a2020/10/14 03:59:59+00,2020/10/14 03:59:59+00
3154.personpremise,SUdBWAY,SUBWAY
1505.request_date,2020/05/210 3:59:59+00,2020/05/21 03:59:59+00
