802.street,20700 ST RTE 4j11,20700 ST RTE 411
1473.groundorsurface,Gronud,Ground
169.planttype,Indusrtial,Industrial
319.spdespermitnumber,NY017620,NY0171620
837.statevalue,Y,NY
356.street,cBRIAN ST,BRIAN ST
1678.spdespermitnumber,N0026182,NY0026182
86.planttype,Industrila,Industrial
203.locationone,"(42.49, -763.1)","(42.49, -76.31)"
1735.planttype,Industiral,Industrial
179.street,2c10 BRIDGE ST,210 BRIDGE ST
1947.locationone,"(41.8,4 -74.08)","(41.84, -74.08)"
490.groundorsurface,Srface,Surface
1670.facilityname,WOODSTOCK SxTP,WOODSTOCK STP
24.country,SA,USA
884.planttype,Indusrial,Industrial
1117.groundorsurface,urface,Surface
1143.spdespermitnumber,N0235881,NY0235881
1556.facilityname,TANENRSVILLE - V STP,TANNERSVILLE - V STP
839.statevalue,YN,NY
1701.city,CHAMLPAIN,CHAMPLAIN
1060.locationone,"(44.93, -m74.1)","(44.93, -74.1)"
237.statevalue,YN,NY
993.groundorsurface,round,Ground
1950.groundorsurface,Surace,Surface
206.locationone,"(44.13, 7-4.92)","(44.13, -74.92)"
923.street,3c530 RTE 52,3530 RTE 52
98.locationone,"(43.43 ,-76.52)","(43.43, -76.52)"
1869.locationone,"(43.27, -77.6)3","(43.27, -77.63)"
1695.city,dBUFFALO,BUFFALO
1873.street,55 CANTIAGUE ORCK RD,55 CANTIAGUE ROCK RD
827.street,WATER ST - S SIDE - W OF LIBERTwY ST,WATER ST - S SIDE - W OF LIBERTY ST
1761.planttype,Industrila,Industrial
633.groundorsurface,Grgound,Ground
1032.locationone,"(43.21, -75.4)","(43.21, -75.47)"
972.city,BpATH,BATH
1736.groundorsurface,Sufrace,Surface
208.locationone,"(42.1, -g76.02)","(42.1, -76.02)"
670.locationone,"40.96, -73.69)","(40.96, -73.69)"
1288.city,SCHEECTADY,SCHENECTADY
1312.statevalue,kNY,NY
1781.groundorsurface,Surfae,Surface
497.street,194 CO RET 45,194 CO RTE 45
1942.statevalue,uNY,NY
991.planttype,unicipal,Municipal
1160.city,CHETERTOWN,CHESTERTOWN
409.statevalue,YN,NY
1556.country,SA,USA
387.facilityname,AST LOUISVILLE WATER DISTRICT #1,EAST LOUISVILLE WATER DISTRICT #1
997.spdespermitnumber,NY020c4153,NY0204153
278.spdespermitnumber,NY0100909,NY0100099
772.planttype,ndustrial,Industrial
1093.city,SOUTHAMPTOdN,SOUTHAMPTON
1093.statevalue,YN,NY
1317.facilityname,SMERSET OPERATING COMPANY LLC,SOMERSET OPERATING COMPANY LLC
247.street,75WESTERLY RD,75 WESTERLY RD
722.locationone,"(44.32, -73.46)","(44.23, -73.46)"
1420.city,MASIC,MASTIC
647.city,ARCY,MARCY
1034.facilityname,FORMyER IFG FACILITY,FORMER IFG FACILITY
1557.city,WHITNEY POINaT,WHITNEY POINT
333.street,101 HROSESHOE RD,101 HORSESHOE RD
1523.facilityname,FORMER BAYSIDE FUEL OIL DEPOT CORPORATION-  N 12TH ST,FORMER BAYSIDE FUEL OIL DEPOT CORPORATION - N 12TH ST
498.country,UAS,USA
1515.statevalue,YN,NY
1389.city,MRTINSBURG,MARTINSBURG
505.planttype,Induystrial,Industrial
1067.country,aUSA,USA
1015.groundorsurface,Suorface,Surface
1739.groundorsurface,urface,Surface
81.planttype,ndustrial,Industrial
15.facilityname,WARWCIK STP,WARWICK STP
369.locationone,"4(2.93, -78.72)","(42.93, -78.72)"
577.statevalue,Y,NY
386.groundorsurface,Sufrace,Surface
1213.city,ORCAHRD PARK,ORCHARD PARK
1972.spdespermitnumber,NY026422,NY0264202
610.spdespermitnumber,NY023751,NY0237591
133.locationone,"(2.99, -78.93)","(42.99, -78.93)"
1646.locationone,"(41.3, -73.7)","(41.3, -73.87)"
2078.city,LONG IeSLAND CITY/GREENPOINT,LONG ISLAND CITY/GREENPOINT
369.facilityname,CALSPAN OCRP,CALSPAN CORP
1221.locationone,"(40.99, -c73.66)","(40.99, -73.66)"
606.country,UA,USA
1446.locationone,"(42.2 ,-73.73)","(42.2, -73.73)"
1155.facilityname,EMERSUB 51 LLC - ITHACA OU-1,EMERSUB 15 LLC - ITHACA OU-1
1424.country,UeSA,USA
772.city,HOEMR,HOMER
1753.street,ENTIRE AWTER DISTRICT WIDE,ENTIRE WATER DISTRICT WIDE
1299.country,USqA,USA
1414.statevalue,YN,NY
237.country,UA,USA
930.planttype,Indsutrial,Industrial
2049.city,rMAHOPAC,MAHOPAC
64.groundorsurface,uSrface,Surface
2041.groundorsurface,Surafce,Surface
1588.street,63 FLUHSING AVE,63 FLUSHING AVE
1329.locationone,"(40.96, -72y.26)","(40.96, -72.26)"
1061.planttype,Munciipal,Municipal
778.statevalue,NwY,NY
813.facilityname,WASSpAIC YARD & STATION,WASSAIC YARD & STATION
1639.locationone,"(44.24, -76.1)1","(44.24, -76.11)"
1751.city,FODA,FONDA
1481.country,UqSA,USA
1949.statevalue,YN,NY
1485.planttype,Induustrial,Industrial
1787.planttype,unicipal,Municipal
111.facilityname,LI RAILc ROAD - OYSTER BAY YARD,LI RAIL ROAD - OYSTER BAY YARD
482.locationone,"(14.78, -74.3)","(41.78, -74.3)"
367.statevalue,NqY,NY
1875.spdespermitnumber,N0263087,NY0263087
1966.street,1275 LIdNDEN BLVD,1275 LINDEN BLVD
223.statevalue,YN,NY
1402.planttype,Industrila,Industrial
1742.spdespermitnumber,NY0001945***,NY0001945
1706.planttype,Muniipal,Municipal
1521.street,8600 NYS RE 16,8600 NYS RTE 16
839.groundorsurface,round,Ground
1967.country,SUA,USA
1479.facilityname,FREDERICK'S jPOINT SEWER DISTRICT NO 2,FREDERICK'S POINT SEWER DISTRICT NO 2
1446.planttype,Indutsrial,Industrial
492.country,UAS,USA
783.planttype,Indsutrial,Industrial
647.planttype,Industril,Industrial
500.street,38 HARDEN ST,387 HARDEN ST
339.planttype,Municpial,Municipal
1800.planttype,Indusrial,Industrial
1217.street,SPzODEN RD & NY RT 60,SPODEN RD & NY RT 60
1766.city,PORT WASaHINGTON,PORT WASHINGTON
1104.statevalue,YN,NY
596.facilityname,SUNY WANAKENA CAMPUS rSTP,SUNY WANAKENA CAMPUS STP
449.street,49 RIVERd RD,49 RIVER RD
1606.locationone,"(k44.79, -74.99)","(44.79, -74.99)"
1509.country,dUSA,USA
383.statevalue,NpY,NY
1809.planttype,Muniwcipal,Municipal
1659.facilityname,HIGHLAzND FALLS WWTP,HIGHLAND FALLS WWTP
1015.city,SYRACUES,SYRACUSE
109.groundorsurface,Surfae,Surface
256.planttype,Muniicpal,Municipal
133.planttype,Indutsrial,Industrial
627.locationone,"(44.51,j -73.47)","(44.51, -73.47)"
1542.planttype,ndustrial,Industrial
1783.facilityname,oNew Scotland Highway Garage,New Scotland Highway Garage
2083.groundorsurface,Gronud,Ground
682.facilityname,KIAESHA LAKE SD STP,KIAMESHA LAKE SD STP
1948.city,ORCHESTER,ROCHESTER
803.planttype,Idnustrial,Industrial
2031.street,525 FRENH RD,525 FRENCH RD
572.locationone,"(4.221, -79.47)","(42.21, -79.47)"
1188.planttype,Ifndustrial,Industrial
2046.statevalue,Y,NY
1769.locationone,"(42.99, -78.42)***","(42.99, -78.42)"
1874.street,25 LAUREL VE,25 LAUREL AVE
302.city,LMA,ELMA
1628.planttype,Indhustrial,Industrial
1611.locationone,"(42.55, -752.4)","(42.55, -75.24)"
1111.statevalue,YN,NY
754.planttype,Industriaal,Industrial
990.spdespermitnumber,NY010551v1,NY0105511
751.groundorsurface,urface,Surface
2028.spdespermitnumber,NY0012385,NY0021385
1718.spdespermitnumber,NY020478,NY0020478
2079.country,UA,USA
1522.statevalue,NsY,NY
532.facilityname,WATCHTOWE RFARMS-FARM III,WATCHTOWER FARMS-FARM III
1661.city,BEwEKMAN,BEEKMAN
599.country,UA,USA
1419.locationone,"(42.48, -76.37j)","(42.48, -76.37)"
641.facilityname,BURKE OIL & HEATING HAWTHONRE TERMINAL,BURKE OIL & HEATING HAWTHORNE TERMINAL
1881.planttype,Industril,Industrial
893.groundorsurface,Surfce,Surface
1535.planttype,Indumstrial,Industrial
1920.facilityname,EVONIK CORPvORATION,EVONIK CORPORATION
448.facilityname,CnOMMONWEALTH PLYWOOD INC,COMMONWEALTH PLYWOOD INC
493.groundorsurface,Gruond,Ground
157.city,DdELHI,DELHI
1426.statevalue,Y,NY
1006.planttype,Inustrial,Industrial
779.city,APINTED POST,PAINTED POST
1958.street,12250-2 S RTE 25 (MAIN RD),12250-2 ST RTE 25 (MAIN RD)
297.country,SA,USA
889.statevalue,YN,NY
526.street,448 C RTE 1A,448 CO RTE 1A
421.statevalue,YN,NY
1711.street,1165 ST TE 29,1165 ST RTE 29
1945.statevalue,cNY,NY
1371.country,SUA,USA
1398.planttype,Munbicipal,Municipal
1906.street,500 HOLEY ST,500 HOLLEY ST
936.spdespermitnumber,N0032760,NY0032760
491.planttype,Industriavl,Industrial
2031.locationone,"(43.09, -57.28)","(43.09, -75.28)"
853.planttype,Idustrial,Industrial
1382.facilityname,COTCO,COSTCO
91.country,UA,USA
945.planttype,Munciipal,Municipal
1679.spdespermitnumber,NY027927,NY0279927
1988.groundorsurface,Surfaec,Surface
1973.spdespermitnumber,NY0a106895,NY0106895
145.facilityname,WESTFIELD WATER PLLUTION CONTROL FACILITY,WESTFIELD WATER POLLUTION CONTROL FACILITY
1162.statevalue,YN,NY
2032.city,MARCdY,MARCY
1633.groundorsurface,tSurface,Surface
1309.city,GRAHAMSVILLE***,GRAHAMSVILLE
194.spdespermitnumber,Y0266876,NY0266876
1068.country,UA,USA
1391.facilityname,BUCKEYE MACRY TERMINAL,BUCKEYE MARCY TERMINAL
50.groundorsurface,Grvound,Ground
1077.facilityname,71 REMINGTONz BLVD,71 REMINGTON BLVD
526.groundorsurface,Surfaice,Surface
1177.planttype,Muncipal,Municipal
1470.spdespermitnumber,NY0000574***,NY0000574
773.groundorsurface,Surnface,Surface
1906.planttype,Industriarl,Industrial
1259.city,EAST jAURORA,EAST AURORA
1358.planttype,Industrila,Industrial
974.city,WATERFORD/COHEOS,WATERFORD/COHOES
746.street,1731 DEER APRK AVE,1731 DEER PARK AVE
893.planttype,Indusrtial,Industrial
2082.groundorsurface,Surace,Surface
1141.locationone,"(1.38, -73.79)","(41.38, -73.79)"
478.facilityname,z126-20 WILLETS POINT BLVD REDEVELOPMENT,126-20 WILLETS POINT BLVD REDEVELOPMENT
1956.groundorsurface,rSurface,Surface
1688.spdespermitnumber,NY00038f59,NY0003859
1253.planttype,Indstrial,Industrial
1879.country,UAS,USA
1382.city,OCENASIDE,OCEANSIDE
1682.groundorsurface,Surafce,Surface
664.statevalue,NdY,NY
1008.spdespermitnumber,NY021289,NY0261289
101.planttype,Municpal,Municipal
1058.statevalue,NcY,NY
1632.locationone,"(446.5, -73.49)","(44.65, -73.49)"
950.city,LAGARNGE,LAGRANGE
1927.country,UAS,USA
937.street,300 McCauleyRd,300 McCauley Rd
1948.facilityname,MONROE CO SHORMONT WTR TREAT PLT,MONROE CO SHOREMONT WTR TREAT PLT
114.street,BROOK WAY OFF CO RTE 6gB,BROOK WAY OFF CO RTE 6B
2044.groundorsurface,vSurface,Surface
1267.facilityname,sCOOLEY MOTORS CORP,COOLEY MOTORS CORP
1728.locationone,"(43.09, -78.99p)","(43.09, -78.99)"
1218.country,UrSA,USA
1486.facilityname,LYDALL PERFORMACNE MATERIALS (US) INC,LYDALL PERFORMANCE MATERIALS (US) INC
2004.statevalue,YN,NY
880.spdespermitnumber,NY013781,NY0213781
732.country,uUSA,USA
666.facilityname,ECSD #5 CLARENCE RESEARCHi PARK,ECSD #5 CLARENCE RESEARCH PARK
1531.locationone,"d(43.89, -75.67)","(43.89, -75.67)"
1043.country,SA,USA
579.spdespermitnumber,NY0428169,NY0248169
165.planttype,Muncipal,Municipal
1051.locationone,"(44.m99, -73.46)","(44.99, -73.46)"
298.planttype,Inustrial,Industrial
340.groundorsurface,Grvound,Ground
1646.facilityname,ARLO LANEr MAINTENANCE FACILTY,ARLO LANE MAINTENANCE FACILTY
1283.facilityname,UNIVERSIT YPLAZA,UNIVERSITY PLAZA
1545.planttype,Muncipal,Municipal
1344.street,AN BUREN RD,VAN BUREN RD
1031.spdespermitnumber,NY095308,NY0195308
598.facilityname,MACKENZIE-CHILDS AUROR LLC,MACKENZIE-CHILDS AURORA LLC
285.country,UAS,USA
125.groundorsurface,Surfaec,Surface
1764.spdespermitnumber,NY0527699,NY0257699
425.street,450 BROADWYA,450 BROADWAY
1709.planttype,Indusrial,Industrial
667.street,FLOWER AVE OFF TS RTE 55,FLOWER AVE OFF ST RTE 55
2061.groundorsurface,Surfae,Surface
538.locationone,"(42.14, -77.0)","(42.14, -77.05)"
624.street,13TH LAK ERD,13TH LAKE RD
374.planttype,ndustrial,Industrial
1567.street,200 SATTE ST,200 STATE ST
496.statevalue,Y,NY
1780.city,BROOKsLYN,BROOKLYN
968.facilityname,LOSUROD FOODS INC,LOSURDO FOODS INC
550.locationone,"(42.18l, -74.79)","(42.18, -74.79)"
1860.spdespermitnumber,NY014949,NY0104949
478.statevalue,sNY,NY
1304.street,7659 NORjTH STREET RD (ST RTE 34),7659 NORTH STREET RD (ST RTE 34)
1996.locationone,"(43.2r4, -77.17)","(43.24, -77.17)"
1196.groundorsurface,uSrface,Surface
669.country,UjSA,USA
259.statevalue,YN,NY
1562.planttype,Mnicipal,Municipal
763.planttype,ndustrial,Industrial
2082.city,AHOPAC,MAHOPAC
394.statevalue,YN,NY
1460.locationone,"(40.57, -739.8)","(40.57, -73.98)"
2002.spdespermitnumber,NY0002t330,NY0002330
360.locationone,"(42.89, -7k8.8)","(42.89, -78.8)"
465.groundorsurface,Surfaice,Surface
513.locationone,"(40.78, -73.n36)","(40.78, -73.36)"
1593.statevalue,Y,NY
883.locationone,"(43.09, -73.9)","(43.09, -73.49)"
886.street,8440S T RTE 54,8440 ST RTE 54
905.planttype,Munciipal,Municipal
1700.spdespermitnumber,N0031356,NY0031356
43.planttype,Inudstrial,Industrial
1921.facilityname,CONEWANGO SUB HEAQUARTERS,CONEWANGO SUB HEADQUARTERS
961.groundorsurface,urface,Surface
50.street,PLEAhSANT ST,PLEASANT ST
1118.country,UdSA,USA
509.country,xUSA,USA
853.street,33 SPRAGE AVE,33 SPRAGUE AVE
1674.spdespermitnumber,nNY0247308,NY0247308
745.spdespermitnumber,NY020697,NY0206997
1480.planttype,Municial,Municipal
972.spdespermitnumber,NY016083,NY0160873
1480.country,lUSA,USA
1856.street,38 COVERED BRIDGE RD|S OF ST RTEk 17,38 COVERED BRIDGE RD|S OF ST RTE 17
1747.spdespermitnumber,NY004434,NY0104434
141.statevalue,NfY,NY
1980.facilityname,OAKFILD - V STP,OAKFIELD - V STP
1492.street,31-71M INE DOCK RD,31-71 MINE DOCK RD
1829.city,LATTSBURGH,PLATTSBURGH
989.facilityname,PORT RICHMOND WASTEWATER RESOUREC RECOVERY FACILITY,PORT RICHMOND WASTEWATER RESOURCE RECOVERY FACILITY
1400.country,SA,USA
1155.groundorsurface,Surfcace,Surface
453.country,UA,USA
1490.statevalue,YN,NY
401.city,DERdBY,DERBY
1883.groundorsurface,rGound,Ground
1478.city,POUGHKEEPSIdE,POUGHKEEPSIE
113.locationone,"(43.04, 7-4.84)","(43.04, -74.84)"
59.locationone,"(40.x71, -74.02)","(40.71, -74.02)"
571.statevalue,Y,NY
705.country,USaA,USA
1916.statevalue,YN,NY
389.locationone,"(43.34, -76.2)","(43.34, -76.42)"
2043.facilityname,COhMO QUARRY,COMO QUARRY
1175.street,ST RTE 1k21 & MAPLE LN,ST RTE 121 & MAPLE LN
386.planttype,Muncipal,Municipal
771.planttype,Municipval,Municipal
590.statevalue,Y,NY
1694.facilityname,CLARENCE FAHNESTOCK STATEP ARK,CLARENCE FAHNESTOCK STATE PARK
1558.planttype,Inustrial,Industrial
148.country,UAS,USA
763.locationone,"(42.19, 74.78)","(42.19, -74.78)"
1117.city,NORT HCASTLE,NORTH CASTLE
235.country,SA,USA
15.spdespermitnumber,NY002360,NY0023680
1804.city,GERMANOWN,GERMANTOWN
1436.facilityname,BROOKS HOUSE OF BARB--Q,BROOKS HOUSE OF BAR-B-Q
1084.city,ROCEHSTER,ROCHESTER
1582.country,UkSA,USA
1617.statevalue,kNY,NY
194.city,EMDFORD,MEDFORD
1990.statevalue,YN,NY
1083.statevalue,Y,NY
1423.city,NORTH NORIWCH,NORTH NORWICH
1595.statevalue,YN,NY
563.planttype,Mnuicipal,Municipal
272.groundorsurface,Surmface,Surface
1570.country,SA,USA
775.locationone,"(42.83, -738.7)","(42.83, -73.87)"
1627.facilityname,VILLGAE LAUNDROMAT,VILLAGE LAUNDROMAT
808.country,UAS,USA
824.country,UAS,USA
1894.planttype,Indstrial,Industrial
1911.street,ST RET 86,ST RTE 86
638.country,USpA,USA
1163.facilityname,HOLLINGSWORTH &V OSE-EASTON MILL,HOLLINGSWORTH & VOSE-EASTON MILL
711.country,UAS,USA
339.statevalue,YN,NY
1187.planttype,Industial,Industrial
528.street,8600 MAINS T,8600 MAIN ST
1464.planttype,Industril,Industrial
1565.spdespermitnumber,NY0210215,NY0210251
942.spdespermitnumber,N0262480,NY0262480
802.country,UpSA,USA
364.groundorsurface,Siurface,Surface
22.country,UA,USA
1135.city,EiAST FISHKILL,EAST FISHKILL
1446.groundorsurface,mSurface,Surface
220.city,oDUANESBURG,DUANESBURG
363.locationone,"(42.23, -78.0)4","(42.23, -78.04)"
347.statevalue,YN,NY
1655.groundorsurface,Surfjace,Surface
520.facilityname,WASHINGTON LAUDNRYMAT,WASHINGTON LAUNDRYMAT
1475.statevalue,NoY,NY
1950.facilityname,WtEST SIDE WASTEWATER TREATMENT FACILITY,WEST SIDE WASTEWATER TREATMENT FACILITY
993.city,CENTEREAH,CENTEREACH
2049.locationone,"(41.38,-73.72)","(41.38, -73.72)"
1701.street,OUTE 9,ROUTE 9
393.groundorsurface,Sufrace,Surface
1823.statevalue,NqY,NY
1927.spdespermitnumber,NYk0104256,NY0104256
884.street,RIDGEBUvRY HILL RD,RIDGEBURY HILL RD
1633.street,5 LAKE ST,35 LAKE ST
1597.country,UaSA,USA
223.groundorsurface,Gruond,Ground
859.planttype,Munsicipal,Municipal
1343.locationone,"(43.65, -76.7)","(43.65, -76.07)"
21.planttype,Inudstrial,Industrial
1762.facilityname,WILD OAKS SEWER hDISTRICT,WILD OAKS SEWER DISTRICT
360.country,UAS,USA
1062.street,"01 LINCOLN AVE, B:2316, L:1","101 LINCOLN AVE, B:2316, L:1"
994.groundorsurface,Surfgace,Surface
1749.facilityname,CON EDISON - HUDSON AVE STATIkON,CON EDISON - HUDSON AVE STATION
645.groundorsurface,Subrface,Surface
1593.facilityname,ELT HARRMAN LLC (FORMERLY NEPERA INC),ELT HARRIMAN LLC (FORMERLY NEPERA INC)
1020.facilityname,MONTICELL OSTP,MONTICELLO STP
1470.facilityname,TONAWANDA ENGINE PLANT-GENpERAL MOTORS POWERTRAIN,TONAWANDA ENGINE PLANT-GENERAL MOTORS POWERTRAIN
946.facilityname,POMPA BROS QUARRY w& MILL,POMPA BROS QUARRY & MILL
116.planttype,Muniicpal,Municipal
1350.street,100 ARRIVAL zAVE,100 ARRIVAL AVE
782.city,ROHCESTER,ROCHESTER
290.locationone,"(41.6, -74.19)","(41.63, -74.19)"
1507.locationone,"(44.19, -74.46)***","(44.19, -74.46)"
1706.facilityname,ORANGETOWN SD# 2 STP,ORANGETOWN SD #2 STP
1624.street,TITU MILL RD,TITUS MILL RD
1752.statevalue,NgY,NY
822.groundorsurface,Surfce,Surface
295.statevalue,Y,NY
106.city,HUNTINGTO STATION,HUNTINGTON STATION
1355.groundorsurface,Surace,Surface
2075.street,GUN LUB RD,GUN CLUB RD
1619.spdespermitnumber,NwY0108251,NY0108251
1899.country,UA,USA
1623.country,UAS,USA
1176.country,UA,USA
1512.city,DUNKRIK,DUNKIRK
1040.city,SFFOLK,SUFFOLK
1409.statevalue,YN,NY
1453.country,SA,USA
1026.statevalue,yNY,NY
1901.city,ABANY,ALBANY
762.planttype,Inustrial,Industrial
1578.facilityname,SOUTH & CENTER CHATAUQUA LAKE SD WWTP,SOUTH & CENTER CHAUTAUQUA LAKE SD WWTP
1792.planttype,Muincipal,Municipal
1916.groundorsurface,Grlound,Ground
1139.locationone,"(42.35, l-73.58)","(42.35, -73.58)"
1952.groundorsurface,kSurface,Surface
933.facilityname,EAST GLENVILLE FIRE STATON,EAST GLENVILLE FIRE STATION
1243.facilityname,wHARDINGE INC,HARDINGE INC
450.locationone,"(42.07, -76.7d8)","(42.07, -76.78)"
633.planttype,Industril,Industrial
428.spdespermitnumber,mNY0090191,NY0090191
1878.locationone,"(2.47, -75.12)","(42.47, -75.12)"
988.spdespermitnumber,NY022790,NY0262790
1552.facilityname,ROCKAWAY WASTEWATER RESOURCE RECOVERY nFACILITY,ROCKAWAY WASTEWATER RESOURCE RECOVERY FACILITY
593.city,vNORFOLK,NORFOLK
1535.spdespermitnumber,NY0144980,NY0144908
1928.groundorsurface,Gruond,Ground
1035.city,ATON,AFTON
1960.groundorsurface,Groumnd,Ground
216.statevalue,Y,NY
111.statevalue,YN,NY
245.spdespermitnumber,NY0301216,NY0031216
55.groundorsurface,Surfce,Surface
1136.planttype,Indumstrial,Industrial
1475.groundorsurface,Surfce,Surface
33.spdespermitnumber,NY029m6465,NY0296465
1246.groundorsurface,Sufrface,Surface
1991.country,SA,USA
904.facilityname,RASON ASPHALTq PLANT,RASON ASPHALT PLANT
1012.groundorsurface,Boh,Both
32.spdespermitnumber,NY000369,NY0003689
449.facilityname,GLOBLA COMPANIES - SOUTH TERMINAL,GLOBAL COMPANIES - SOUTH TERMINAL
490.street,2000 ST RTE55,2000 ST RTE 55
1299.groundorsurface,Surfcae,Surface
1219.locationone,(42.44 -76.25),"(42.44, -76.25)"
1462.country,SA,USA
923.facilityname,PACKAGE PAVEMENT OC,PACKAGE PAVEMENT CO
386.locationone,"43.08, -75.55)","(43.08, -75.55)"
963.spdespermitnumber,YN0265519,NY0265519
512.country,SA,USA
1475.city,PHEPS,PHELPS
2005.street,261 WAHINGTON BLVD,261 WASHINGTON BLVD
947.country,UA,USA
1602.street,1260 JFEFERSON RD,1260 JEFFERSON RD
1862.street,PLTECHER RD,PLETCHER RD
414.city,RICHMONDVLILE,RICHMONDVILLE
678.planttype,Industiral,Industrial
331.locationone,"(42.3, -74.43)","(42.32, -74.43)"
1176.city,ITHCAA,ITHACA
1026.groundorsurface,Surfaec,Surface
1947.city,RSENDALE,ROSENDALE
1175.spdespermitnumber,NY027526,NY0274526
550.planttype,Muniipal,Municipal
542.spdespermitnumber,NY0270425,NY0270245
445.facilityname,GOUEVRNEUR MINERALS DIV # 4 MINE,GOUVERNEUR MINERALS DIV # 4 MINE
110.facilityname,TRIMUNICIPAL WWTP,TRI-MUNICIPAL WWTP
65.statevalue,YN,NY
2044.statevalue,YN,NY
617.city,POINTLOOKOUT,POINT LOOKOUT
1188.facilityname,BLACK BEAR FUEL OIL HARRIS GARAiGE,BLACK BEAR FUEL OIL HARRIS GARAGE
526.facilityname,NOVELIS CORPOxRATION,NOVELIS CORPORATION
1512.country,cUSA,USA
641.street,475 COMERCE ST,475 COMMERCE ST
78.planttype,Muicipal,Municipal
1578.groundorsurface,uSrface,Surface
1221.planttype,Municpal,Municipal
1974.locationone,"(43.07, -75.26)","(43.07, -75.62)"
1994.city,BRLIN,BERLIN
2015.planttype,Indusstrial,Industrial
204.planttype,Indusrtial,Industrial
1126.facilityname,ONEIDA CO WATER POLLUTOIN CONTROL PLANT,ONEIDA CO WATER POLLUTION CONTROL PLANT
995.city,WRASAW,WARSAW
570.planttype,Municipla,Municipal
365.facilityname,FERRO ELECTRONIC MATERIALS - PrENN YAN FACILITY,FERRO ELECTRONIC MATERIALS - PENN YAN FACILITY
1732.statevalue,Y,NY
1595.facilityname,MDIDLEBURGH - V STP,MIDDLEBURGH - V STP
1072.statevalue,Y,NY
333.country,UAS,USA
1356.groundorsurface,Surfaec,Surface
232.facilityname,BREWSTER HEIGHTSWWTP,BREWSTER HEIGHTS WWTP
1495.statevalue,rNY,NY
1505.spdespermitnumber,NY0260599,NY0260959
1168.spdespermitnumber,NY024555,NY0241555
197.facilityname,LONGa LAKE WATER FILTRATION PLANT,LONG LAKE WATER FILTRATION PLANT
561.locationone,(41.82 -73.77),"(41.82, -73.77)"
673.statevalue,Y,NY
234.locationone,"(42.1,1 -75.91)","(42.11, -75.91)"
1358.street,4921 ST RTE 58N - W OF GOUVENEUR|OSWEGApTCHIE RIVER,4921 ST RTE 58N - W OF GOUVENEUR|OSWEGATCHIE RIVER
1934.facilityname,PORTk BYRON (V) WWTP,PORT BYRON (V) WWTP
291.spdespermitnumber,NY024u8363,NY0248363
1098.country,UAS,USA
1301.city,VILLAGE OF NEW eSQUARE,VILLAGE OF NEW SQUARE
1029.statevalue,Y,NY
102.statevalue,NoY,NY
243.statevalue,Y,NY
1574.street,1018 WAVERtLY AVE,1018 WAVERLY AVE
782.planttype,Indsutrial,Industrial
2079.locationone,"(41.34, -74.3z6)","(41.34, -74.36)"
2004.planttype,xIndustrial,Industrial
464.groundorsurface,Giround,Ground
2045.locationone,"42.8, -77.13)","(42.8, -77.13)"
825.planttype,Industiral,Industrial
823.statevalue,Y,NY
138.facilityname,LEHIGH NORTHEAST CEMENT pCO - CEMENTON TERMINAL,LEHIGH NORTHEAST CEMENT CO - CEMENTON TERMINAL
539.city,MLILERTON,MILLERTON
1162.street,BOAT LUNCH RD  - 1985 FT S,BOAT LAUNCH RD  - 1985 FT S
68.facilityname,ASHE OIL CaO,ASHE OIL CO
1298.statevalue,Y,NY
1138.planttype,Municcipal,Municipal
1138.facilityname,LIBERTY WoWTF,LIBERTY WWTF
