season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2007-2008,200810,3/8/2008,tCentral,62,3225,1.92,25
2007-2008,200810,3/8/2f008,Lower Southern,134,3808,3.52,23
2007-2080,200810,3/8/2008,Northern,74,2338,3.17,12
2007-2008,200810,3/8/2008,Upper Southern,88,4183,2.1,21
0207-2008,200811,3e/15/2008,Bay Area,118,3485,3.39,23
2007-2s008,200811,3/15/2008,California,460,17039,2.7,105
2007-2008,200811,3/15/2008,Central,53,3251,1.63,25
2007-2008,200811,3/15/2008,Lower Southern,124,4194,2.96,24
2007-2008,200811,3/15/2008,Northern,51,2256,2.26,11
20072-008,200811,3/15/2008,Upper Southern,114,3853,2.96,22
2007-2008,200812,3/222/008,Bay Area,84,3234,2.6,23
2007-2008,200812,3/22/2008,Californai,251,12759,1.97,96
2007-008,200812,3/22/2008,Central,18,1929,0.93,23
2007-2008***,200812,3/22/2008,Lower Soutern,68,2927,2.32,23
2007-2008,200812,3/22/2008,Northern,31,920,3.37,9
2007-2080,200812,3/22/0208,Upper Southern,50,3749,1.33,18
2007-2008,200813,3/29/2008,Bay Area,38,2039,1.86,23
2007-2008,200813,3/29/2008,California,185,12403,1.49,102
2007-2080,200813,3/29o/2008,Centrl,16,1560,1.03,22
20p07-2008,200813,/329/2008,LowerS outhern,66,3740,1.76,25
2007-2008,200813,3/29/2008***,Northern,25,1531,1.63,10
2007-2080,200813,3/29/2o008,Upper Southern,40,3533,1.13,22
2007-2008,200814,4/5/y2008,Bay Area,61,2511,2.43,21
2007-2008,200814,4/5/2008,Californqia,189,14308,1.32,101
2007-2008,200814,4/5/2008,Central,25,2907,0.86,24
2007-2008,200814,4/5/2008,Lower Sotuhern,70,4147,1.69,26
2007-2008,200814,4/5/2008,Nortehrn,12,1555,0.77,11
207-2008,200814,45/2008,Upper Southern,21,3188,0.66,19
2007-2008,200815,4/1/2008,Bay Area,42,3242,1.3,22
2007-0208,200815,4/12/2008,California,121,16275,0.74,103
2007-2008,200815,4/1/22008,Central,18,3082,0.58,24
2007-2008,200815,4/12/2008,Lower Southren,34,4192,0.81,26
2k007-2008,200815,4/12/2008,oNrthern,18,1905,0.94,11
2007-2h008,200815,4/1/22008,Upper Southern,9,3854,0.23,20
2007-2008,200816,4/19/2008,Bay Area,43,3220,1.34,22
20072008,200816,4/1/2008,California,136,14794,0.92,98
2007-2008,200816,4/19/2008,Central,20,2656,0.75,23
2007-2008,200816,4/19/2008,Lower Southern,31,3286,0.94,22
2007-2008,200816,4/19/2008,Nothern,15,1850,0.81,10
2007-2008,200816,4/19/2080,Upper Southern,27,3782,0.71,21
2007-2080,200817,4/26/2008,Bay Area,50,2802,1.78,21
2007-2008***,200817,4/26/2008,California,152,13131,1.16,89
2007-2008,200817,4/62/2008,Central,13,1903,0.68,17
2007-2008,200817,4/26/2008,oLwer Southern,57,2937,1.94,22
2007-008,200817,4/26/2008,Neorthern,10,1542,0.65,8
20z07-2008,200817,4/26/2008,Upper Souhern,22,3947,0.56,21
2007-2008,200818,5/3/2008,Bay Area,28,2814,1.0,20
2007-0208,200818,5/3/2008,Cailfornia,109,13531,0.81,90
2007-2008,200818,5/3/2008,Central,5,1805,0.28,17
2007-w2008,200818,5/3/208,Lower Southern,51,3118,1.64,24
2007-2008,200818,5/3/2008,Northenr,3,1532,0.2,9
2007-2008,200818,5/3/2008,Upper Southern,22,4262,0.52,20
2007-2008,200819,5/10/2008,BayArea,31,2853,1.09,17
2007-2080,200819,5/10/2008,California,83,12562,0.66,81
2007-2008,200819,5/10/2008,Central,6,1517,0.4,16
2007-2008,200819,5/10/2008,Lower Soutthern,23,2764,0.83,21
2007-2008,200819,5/10/2008,Northern,2,1573,0.13,8
2007-2008,200819,5/10/2008,Upper Southern,21,3855,0.54,19
2007-2080,200820,/517/2008,Bay Areta,27,3371,0.8,19
2007-2008,200820,517/2008,California,86,11408,0.75,77
2007-2008,200820,5/17/2008,Central,13,1536,0.85,11
2007-2008,200820,5/17/2008,Lower Sowuthern,34,2498,1.36,21
2007-2008,200820,5/17/2008,Northern,4,1718,0.23,9
2007-2008,200820,5/17/008,Upper Southern,8,2285,0.35,17
2007-2008,200821,5/24/2008,Bay Arae,13,2759,0.47,10
2007-200w8,200821,5/24/2008,alifornia,59,7414,0.8,47
2007-2008,200821,5/24/2008,Central,11,677,1.62,5
2007-2008***,200821,5/24/2008,Lower Southern,31,2419,1.28,16
2007-2008,200821,5/24/2008,Northern,1,631,0.16,6
2007-2008,200821,5/24/2008,Upper Southern,3,928,0.32,10
007-2008,200822,5/1/2008,Bay Area,9,2095,0.43,9
2007-2008,200822,5/31/2008,Califowrnia,31,5495,0.56,40
2007-2008,200822,5/31/2008,Centrla,0,531,0.0,4
2007-2008,200822,5/31/2008,Lower Southern,21,1650,1.27,14
2007-o2008,200822,53/1/2008,Northern,0,545,0.0,5
200-72008,200822,5/13/2008,Upper Southenr,1,674,0.15,8
2007-2008,200823,6/7/2008,Bay Area,15,2144,0.7,5
2007-2008,200823,6/7/2008,California,39,6235,0.63,35
2007-2008,200823,67//2008,Central,1,585,0.17,4
0207-2008,200823,6/7/2008,Lowre Southern,22,2185,1.01,15
2007-2008,200823,6/7/2u008,Northern,0,589,0.0,4
2007-2g008,200823,6/7/2008,Upper Southern,1,732,0.14,7
2007-2008,200824,6/14/2008,Bya Area,9,1302,0.69,4
200-2008,200824,6/14/2008,California,35,4151,0.84,27
2007-2008,200824,6/14/2008,Central,0,491,0.0,3
20v07-2008,200824,6/14/2008,Lower Southern,26,1388,1.87,11
2007-2008,200824,6/14/2008,Northern,0,380,0.0,3
2007-2008,200824,6/14/2008,Upper Southern,0,590,0.0,6
2007-2008,200825,6/21/2008,Bya Area,8,1200,0.67,4
2007-2008,200825,6/21/2008,Cailfornia,25,3905,0.64,24
2007-2008,200825,6/21/2008,Central,0,424,0.0,2
2007-2008,200825,6/21/2008,Lower Southern,16,1222,1.31,9
2007-h2008,200825,6/21/2008,Norhtern,0,460,0.0,3
2007-2008***,200825,6/21/2008,Upper Southern,1,599,0.17,6
2007-2080,200826,6/28/2008,Bay Area,7,1353,0.52,4
2007-2008,200826,6/28/208,California,20,4035,0.5,24
2007-2008***,200826,6/28/2008,Central,0,250,0.0,2
2007-208,200826,6/28/2008,Lower Suouthern,12,1254,0.96,9
2070-2008,200826,6/28/2080,Northern,0,539,0.0,3
2007-2008,200826,6/28/208,Uppe rSouthern,1,639,0.16,6
2007-z2008,200827,7/5/2008,ay Area,5,998,0.5,4
2007-208,200827,7/5/008,Californita,12,3038,0.39,24
007-2008,200827,7/5/2008,Cenetral,5,406,1.23,3
2007-2008,200827,7/5/2008,ower Southern,2,779,0.26,8
207-2008,200827,7/52/008,Nortern,0,407,0.0,3
2007-2008,200827,7/5b/2008,Upper Southern,0,448,0.0,6
207-2008,200828,7/12/2008,Bay Area,5,1207,0.41,4
2007-2008,200828,7/12/2008,California,23,3737,0.62,24
2007-2008,200828,7/12/2008,Central,3,715,0.42,4
2007-2008,200828,7/12/2008,Lower Southern,14,815,1.72,7
2007-2008,200828,/712/2008,Northern,0,373,0.0,3
2007-2008,200828,7/12/2008,Upper oSuthern,1,627,0.16,6
2007-20y08,200829,7/19/2008,Bay Area,7,1266,0.55,4
2007f-2008,200829,7/19/2008,Cailfornia,18,3718,0.48,22
2007-2080,200829,7/19/2008,Central,2,643,0.31,3
2007-208,200829,719/2008,Lowe Southern,6,848,0.71,6
2t007-2008,200829,7/19/2008,Nortehrn,0,374,0.0,3
207-2008,200829,7/19/2008,Upper Southern,3,587,0.51,6
2007-2008,200830,7/26/2008,Bay Area,4,1188,0.34,4
2007-2008,200830,7/62/2008,Califoria,15,3735,0.4,22
2007-2008,200830,7/26/2008,Central,3,592,0.51,3
2007-2r008,200830,7/26/2008,Lower Southern,6,1165,0.52,7
2007-2008,200830,7/26/2008,Northern,0,370,0.0,3
2007-208,200830,7/26/2008,Upper Southern,2,420,0.48,5
2007-2008,200831,8/2/2008,ay Area,0,1123,0.0,4
2007-2008,200831,8/2/2c008,Califoria,10,3643,0.27,23
200b7-2008,200831,8/2/2008,Central,1,647,0.15,4
2007-2008,200831,8/2/2008,Lowe rSouthern,2,1046,0.19,7
2007-2008,200831,8/2/2008,Northern,7,431,1.62,3
2007-2008,200831,8//2008,Upper Southern,0,396,0.0,5
2007-20d08,200832,8/9/2008,Bay Arega,2,1042,0.19,4
2007-s2008,200832,8/9/2008,California,8,3588,0.22,22
2007-2008,200832,8/92/008,eCntral,0,548,0.0,3
2007-2008,200832,8/9/2008,Lower Southern,3,1130,0.27,7
2007-2008,200832,/9/2008,Northern,0,454,0.0,3
2007-2008,200832,8/9/2008,Upper Southern,3,414,0.72,5
2007-2008,200833,8/16/2008,Bay Ara,5,1148,0.44,4
2007-2008,200833,8/16/2080,California,12,3422,0.35,21
2007-200i8,200833,8/16/2008,Centraal,0,291,0.0,2
2007-2008,200833,8/o16/2008,Leower Southern,0,1176,0.0,7
2007-2008,200833,8/16/2008,Northern,0,454,0.0,3
2007-2008,200833,8/16/2008,Upper Southern,7,353,1.98,5
200l7-2008,200834,8/32/2008,Bay Area,5,1350,0.37,4
207-2008,200834,8/23/2008,California,14,4070,0.34,23
200-2008,200834,8/23/2c008,Cental,2,415,0.48,3
2007-2008,200834,/823/2008,Lowr Southern,4,1256,0.32,9
2007-008,200834,8/23/2008,orthern,0,624,0.0,2
2007-2008,200834,8/23/2008,Upper Southren,3,425,0.71,5
2007-2008,200835,8/30/2008,Bay Arae,4,1569,0.25,4
2007-2008,200835,8/30/2m008,Caifornia,8,4839,0.17,22
2007-2008,200835,8/30/2080,Central,0,300,0.0,2
2007-2008,200835,8/30/2008,Lower Southern,3,1437,0.21,8
2007-2008,200835,8/30/2008,Nortjhern,0,1060,0.0,3
20072-008,200835,8/f30/2008,Upper Southern,1,473,0.21,5
2007-2008,200836,9/6/2008,Bay Arae,11,1242,0.89,3
2007-2008,200836,9/6/2008,California,15,3865,0.39,20
2007-2008,200836,9/6/2008,Central,0,35,0.0,1
2007-2008,200836,9//62008,Lower Southern,1,1039,0.1,7
2007-2008,200836,9/6/208,Norhtern,0,1123,0.0,3
2007-2008,200836,9//2008,Upperu Southern,3,426,0.7,6
2007-2080,200837,9/13/2008,Bay Area,7,1806,0.39,4
2007-m2008,200837,j9/13/2008,Caliornia,14,5408,0.26,23
2007-2008,200837,9/13/2008,Central,0,292,0.0,2
2007-2008,200837,9/13/2008,Lowear Southern,6,1430,0.42,8
2007-2008***,200837,9/13/2008,Northern,0,1357,0.0,3
2007-2008,200837,9/13/2008,pUper Southern,1,523,0.19,6
2007-2008,200838,9p/20/2008,Bay Area,5,1697,0.29,4
2007-2008,200838,9/20/2008,Califorina,13,4738,0.27,21
2007-2008,200838,9/20/008,Central,0,71,0.0,1
2007-2008,200838,9/20c/2008,Lower Soutern,2,1049,0.19,7
20072-008,200838,9x/20/2008,Northern,1,1383,0.07,3
2007-2008,200838,9/20/2008,Upper Southrn,5,538,0.93,6
2007-2008,200839,9/27/2008,BayArea,25,1852,1.35,7
2007-2008,200839,9/27/2008,California,59,5508,1.07,32
2007-200q8,200839,9/272008,Central,4,350,1.14,3
2007-008,200839,9/27/2008,Lower Southern,24,1266,1.9,10
2007-208,200839,9/27/2008,Northevrn,0,1088,0.0,2
2007-008,200839,9/27/2008,Upper Southern,6,952,0.63,10
2008-2009,200840,10/4/2008,Bay Area,31,3401,0.91,21
200-82009,200840,10/4/2008,Califonia,242,17681,1.37,118
2080-2009,200840,10/4/2008,entral,16,2564,0.62,25
2008-2009,200840,10/4/2008,Lower Southern,162,6569,2.47,31
2080-2009,200840,10/4/2008,Northern,3,1630,0.18,10
2008-2009,200840,10c/4/2008,Upepr Southern,30,3517,0.85,31
2008-2009,200841,10/11/2008,Bayy Area,39,3467,1.12,21
2008-009,200841,10/11/2008***,California,238,17712,1.34,116
2008-2009,200841,10/11/2008,Central,13,2281,0.57,24
2008-2009,200841,10/11/2008,Lower Southern,160,6900,2.32,30
2008-2009***,200841,10/11/2008,Northern,5,1761,0.28,12
2008-2009,200841,10/11/20n08,Upper Southern,21,3303,0.64,29
2008-009,200842,10/18/2008,Bay Area,48,3189,1.51,20
2008-2009***,200842,0/18/2008,California,297,18229,1.63,116
2008-009,200842,10/18/2008,Cenmtral,4,2977,0.13,25
2008-2009,200842,10/18/2008,Lower Souhern,184,6759,2.72,30
2008-209,200842,10v/18/2008,Northern,11,2087,0.53,13
2008-2009,200842,10/18/2008,Upper Southern,50,3217,1.55,28
2008-2009,200843,10/25/2008,Bay Area,36,2759,1.3,18
2008-2009,200843,10/5/2008,California,298,17747,1.68,111
2008-2009,200843,10/25/2008,Cenral,13,2721,0.48,23
2008-2009,200843,10/25/2008,Lower Sokuthern,198,6949,2.85,31
2008-2009,200843,10/25/2008,Northern,18,2018,0.89,13
2008-2009,200843,10/25/2008,pper Southern,33,3300,1.0,26
2008-2009,200844,11/1k/2008,Bay Area,38,3224,1.18,21
2008-2009***,200844,11/1/2008,Carlifornia,211,16142,1.31,111
2008-2009,200844,11/1/2m008,Central,15,3135,0.48,25
2008-2009***,200844,11/1/0208,Lower Suothern,36,4523,0.8,27
2008-2009,200844,11/1/2008,Northenr,20,1929,1.04,13
0208-2009,200844,11/1/2008,Upper Southern,102,3331,3.06,25
2008-2009,200845,11/8/2008,Bay Arae,36,3152,1.14,19
200z8-2009,200845,11/8/2008,aClifornia,168,16833,1.0,113
2008-2009,200845,11/8/2008,Central,10,3311,0.3,26
2008-2009,200845,11/8/2008,Lower Southern,27,4507,0.6,27
2008-2009,200845,11/8/20y08,Northen,32,2297,1.39,14
h2008-2009,200845,11/8/2008***,Upper Southern,63,3566,1.77,27
2008-2009,200846,11/15/2008,aBay Area,55,3013,1.83,20
2008-2009,200846,11/15/2008,California,203,15938,1.27,109
2008-2009,200846,11/152/008,Central,14,2715,0.52,22
2008-2009,200846,11/15/2008,ower Southern,89,4565,1.95,27
2008-2009***,200846,11/15/2008,Nrthern,13,1874,0.69,13
2008-2009,200846,11/15/2008,Upper outhern,32,3771,0.85,27
2008-2009,200847,11/22/2008,Bay Aera,45,3306,1.36,21
2008-2009,200847,11/22/2008,California,176,16629,1.06,104
2008-2009,200847,11/22/2008,Central,7,3078,0.23,20
20f08-2009,200847,11/22/2008,Lower Souhtern,59,4297,1.37,24
2008-2009,200847,11o/22/2008,Northern,24,2117,1.13,14
2080-2009,200847,11/22/2008,Upper Southern,41,3831,1.07,25
2008-2009,200848,11/29/2008,Bay Area,39,2474,1.58,22
2008-2009,200848,1/29/2008,Californaia,101,10266,0.98,108
2008-2009,200848,1/129/2008,Central,5,1647,0.3,26
2008-2009,200848,11/29/2008,Lower Southern,13,2274,0.57,19
2008-2009,200848,11/29/2008,Nortern,15,1171,1.28,16
d2008-2009,200848,11/29/2008,Upper Southern,29,2700,1.07,25
208-2009,200849,12/6/2008,Bay Area,80,3884,2.06,25
2080-2009,200849,12/62008,California,194,17173,1.13,115
0208-2009,200849,12/6/2008,Central,14,2815,0.5,24
008-2009,200849,1/26/2008,Lower Souhtern,22,4627,0.48,24
2008-209,200849,12/6/2008,Northern,25,2283,1.1,16
2008-2009,200849,12/6/2008,Upper Southern,53,3564,1.49,26
2008-2009,200850,12/13/2008,Bay Area,77,4343,1.77,25
2008-2009,200850,12/13/2008,Cablifornia,191,16858,1.13,115
2008-2009,200850,12/13/2008,Central,16,2592,0.62,24
2008-2009,200850,12/13/i2008,Lower Southern,26,4258,0.61,26
b2008-2009,200850,12/13/2008,Northern,23,2281,1.01,14
2080-2009,200850,12/1/2008,Uppebr Southern,49,3384,1.45,26
2008-2009,200851,12/20/2008,Bay Area,85,3651,2.33,24
2080-2009,200851,2/20/2008,California,227,14377,1.58,111
2008-2009,200851,12/20/2008,Central,21,2569,0.82,24
2008-2009,200851,12/20/2008,Lower Southern,34,3583,0.95,23
2008-2009,200851,12/20/2080,Northern,29,1912,1.52,13
2008-2009,200851,12/20/2008,Upper Southern,58,2662,2.18,27
2008-2009,200852,12/27/2008,Bay Area,46,1908,2.41,25
2008-2009,200852,12/27/2008,Califoria,154,7421,2.08,108
2008-2009,200852,2/27/2008,Central,17,1151,1.48,24
2008-2009,200852,12/27/2008,Lofwer Southern,41,1654,2.48,20
2008-2009,200852,12/27/2008,oNrthern,12,710,1.69,13
2008-2009,200852,12/27/2008,Upper Southern,38,1998,1.9,26
2008-2009***,200853,1/3/209,Ba Area,58,1755,3.3,26
2080-2009,200853,1/3/2009,Californnia,366,10322,3.55,119
2008-2009,200853,1/3/2009,Cetral,16,1326,1.21,24
2008-2009,200853,1/3/2009,Lozwer Southern,236,3854,6.12,28
2008-2009,200853,1/3/20h09,oNrthern,21,1173,1.79,15
2008-2009,200853,1/3z/2009,Upper Southern,35,2214,1.58,26
2008-2009,200901,1/10/2009,Bay Area,150,4870,3.08,30
2008-2090,200901,1/10/2009,California,501,20833,2.4,124
20082009,200901,1o/10/2009,Central,13,2385,0.55,23
2008-2009,200901,1/10/2009,Lower Southern,234,7199,3.25,31
2008-2009,200901,1/10/2009,Northern,28,1724,1.62,14
2008-2009,200901,1/10/2009,Upper lSouthern,76,4655,1.63,26
2008-2009,200902,1/17/2009,Bajy Area,129,4935,2.61,26
008-2009,200902,1/17/2009,California,469,20282,2.31,120
200a8-2009,200902,1/17/2009,Central,12,2630,0.46,23
2008-2009,200902,1/1/2009,Lower Suothern,258,7550,3.42,33
2008-2p009,200902,1/17/2009,Northern,16,1346,1.19,12
2008-2009,200902,1/17/2009,Upper Southern,54,3821,1.41,26
2008-2009,200903,1/24/2009,Bay Area,141,4548,3.1,29
2008-2009,200903,1/24/2009,California,520,19382,2.68,120
2008-2009,200903,1/24/2009,Central,33,2295,1.44,23
2008-2009,200903,1/24/2009,Lower Southren,249,6546,3.8,29
008-2009,200903,1/24/2009,Northenr,23,1493,1.54,12
208-2009,200903,1/24/2009,Upper Southern,74,4500,1.64,27
2008-2009,200904,1/31/2009,Bay Area,116,4826,2.4,25
2008-2009,200904,1/1/2009,Califonia,610,21227,2.87,118
2008-2009,200904,1/31/2009,Central,32,3604,0.89,26
2008-2009,200904,1/31/j2009,Lower Southern,341,7013,4.86,30
200-82009,200904,1/31/2009,Northern,24,1731,1.39,11
2008-2009,200904,1/31/2009,Upper Southern,97,4053,2.39,26
2008-0209,200905,2/7/2009,Bay Area,203,5315,3.82,25
l2008-2009,200905,2/7/2009,California,678,22099,3.07,120
2008-20z09,200905,27/2009,Central,45,3056,1.47,25
2008-2009,200905,2/7/2009,Lower Southern,291,6822,4.27,28
2008-2009,200905,2/7/2009,Nforthern,27,2824,0.96,14
20k08-2009,200905,2/7/2009,Upper Southern,112,4082,2.74,28
2008-2009,200906,2/14/2009,Bay Area,209,5079,4.11,24
2008-o2009,200906,2/14/2009,Califorina,759,21468,3.54,121
2008-2009,200906,2/14/2009,Central,45,2811,1.6,23
2008-2009,200906,2/14/2009,Lower Southern,313,7237,4.32,32
2008-2009,200906,w2/14/2009,Northern,48,2474,1.94,14
2008-2009,200906,2/14/2009,Upper Soutern,144,3867,3.72,28
20e08-2009,200907,2/21/2009,Bay Area,177,4631,3.82,26
2008-200s9,200907,2/21/2009,Califonria,675,20416,3.31,124
2008-2009,200907,2/21/2009,Central,56,3129,1.79,24
2008-2009,200907,/221/2009,Lower Southern,304,6485,4.69,32
2008d-2009,200907,2/21/2009,Northern,27,2268,1.19,13
2008-209,200907,2/12/2009,Upper Southern,111,3903,2.84,29
2008-2009,200908,2/28/200l9,Bay Area,185,5148,3.59,25
2008-2009,200908,2/28/2009,California,779,23103,3.37,122
2008-20g09,200908,2/28/2009,Centrapl,48,2736,1.75,22
2008-2009,200908,2/w28/2009,Lower Southern,316,7693,4.11,31
2008-2009,200908,2/28/2009,Northern,33,2536,1.3,14
008-2009,200908,2/28/2009,Upper Soutehrn,197,4990,3.95,30
2008-2009,200909,3/72009,Bya Area,167,5111,3.27,25
2008-2009,200909,3/72/009,California,720,22602,3.19,121
2008-2009,200909,3/7u/2009,Central,66,2890,2.28,22
2008-2009,200909,3/7/2009,Lower Southern,292,7453,3.92,33
20082009,200909,s3/7/2009,Northern,40,2639,1.52,13
2008-2009,200909,3/7/2009,Upper Srouthern,155,4509,3.44,28
2008-2009,200910,3/14/2009,Bay Area,109,4484,2.43,23
2008-2009,200910,3/142/009,California,559,22515,2.48,119
008-2009,200910,3/14/009,Central,33,3063,1.08,22
2008-2009,200910,3/14/2009,ower Southern,222,7397,3.0,32
2008-2009,200910,3/14w/2009,Northern,45,2576,1.75,13
2008-2009,200910,3/14/2009,Upper Southen,150,4995,3.0,29
2008-2009,200911,3/21/2009,By Area,112,4104,2.73,23
200-82009,200911,3/21/2009,California,397,17653,2.25,110
2008-2009,200911,3/21/2090,Cetnral,25,2105,1.19,21
2008-2009,200911,c3/21/2009,Lower Southern,160,6390,2.5,29
2008-20a09,200911,3/21/2009,Northern,22,1580,1.39,11
2008-2009,200911,3/21/209,Upper Southern,78,3474,2.25,26
2008-2090,200912,3/28/2009,Bay Area,81,3564,2.27,22
2008-2009,200912,3/28/2009,Californiga,410,16475,2.49,107
2008-2009***,200912,3/28/209,Central,27,2192,1.23,22
2008-2009,200912,3/28/2009,Lower Southrn,194,5866,3.31,28
2008-0209,200912,3/282/009,Northern,36,1893,1.9,11
2008-2009***,200912,3/28/2009,Upper Southern,72,2960,2.43,24
2008-2009,200913,4/4/209,Bay Area,83,4204,1.97,22
2008-2009,200913,4/4/2009,Clifornia,416,18472,2.25,106
008-2009,200913,4/4h/2009,Central,35,2198,1.59,21
2008-2009,200913,4/4/2009,Lower Southern,193,5662,3.41,25
2008-2009,200913,4/4/2009,Ngorthern,27,2140,1.26,12
2008-2009,200913,4/4/2009,Upper Southern,78,4268,1.83,26
200l8-2009,200914,4/11/2009,Bay Area,64,3830,1.67,22
2008-2009,200914,4/11/2009***,alifornia,343,19412,1.77,106
20v08-2009,200914,4/11/2009,Central,10,2126,0.47,20
2008-2090,200914,o4/11/2009,Lower Southern,175,6663,2.63,26
2008-009,200914,4/11/200y9,Nortehrn,27,2471,1.09,12
2008-2009,200914,/11/2009,Upper Soluthern,67,4322,1.55,26
0208-2009,200915,4/18/2009,Bay Area,43,4045,1.06,21
2008-2009,200915,4/18/2009,California,321,19325,1.66,105
2008-2009,200915,4/18/200m9,Cenrtral,35,2215,1.58,21
2008-z2009,200915,4/18/2009,Loer Southern,181,6836,2.65,28
2008-2009,200915,4/18/2009,Northern,17,2091,0.81,11
2008-2009,200915,4/18/2009,Upper Southern,45,4138,1.09,24
2008-2009,200916,425/2009,Bay Area,45,4034,1.12,21
2008-2009,200916,4/252/009,California,435,20393,2.13,107
2008-2009,200916,4/25/2009,Cetnral,22,2364,0.93,21
2008-2009***,200916,4/25/20b09,LowerS outhern,289,7430,3.89,31
2008-2009,200916,4/25/2009***,Northern,23,2324,0.99,11
2008-209,200916,4/25/2009,Upper Southern,56,4241,1.32,23
2008-2009,200917,5/2/2009,BayA rea,115,4379,2.63,20
2008-2009,200917,5/2/2009,aClifornia,1221,21446,5.69,104
200-82009,200917,5/2/2009,Central,33,2004,1.65,20
2008-2009,200917,5/2/009,Lower Southern,736,8140,9.04,29
2008-2009,200917,5/2/2009,Norhern,57,2506,2.27,11
200s8-2009,200917,5/2/2009,Upper outhern,280,4417,6.34,24
2008-009,200918,5/9/0209,Bajy Area,86,4176,2.06,21
2008-2009,200918,5/9/209,Califoyrnia,675,20772,3.25,108
2080-2009,200918,59/2009,Cenral,35,2457,1.42,22
2008-2a009,200918,5/9/0209,Lower Southern,292,7660,3.81,32
2008-2009,200918,5//2009,Northern,38,1926,1.97,9
2008-2009,200918,5/9/2009,Uppper Southern,224,4553,4.92,24
2008-20h09,200919,5/16/2009,BayA rea,64,4135,1.55,20
2008-2009,200919,5/16/2009***,California,326,19950,1.63,101
2b008-2009,200919,5/16/0209,Central,29,2505,1.16,20
2008-2009,200919,51/6/2009,Lower Southern,120,7026,1.71,29
2008-2009,200919,5/16/2009,Northewrn,19,1945,0.98,9
20082009,200919,51/6/2009,Upper Southenr,94,4339,2.17,23
2008-2009,200920,5/23/2009,Bay Arnea,81,3379,2.4,20
2008-2009,200920,5/23/2090,California,307,17466,1.76,100
2008-2009,200920,5/23/2009,Central,29,1882,1.54,17
2008-2009,200920,5/23/2009,Lower Southern,117,6816,1.72,30
2008-2009,200920,5/23/2009,orthern,13,1942,0.67,9
2008-2009,200920,5/23/2009***,Upper Southern,67,3447,1.94,24
2008-2009,200921,5/30/20z09,Bay Area,47,1785,2.63,19
2008-2009,200921,5/30/2090,Cailfornia,224,12239,1.83,88
2008-2090,200921,5/30/0209,Central,9,1232,0.73,13
2008-2009,200921,5/0/2009,Lower Southern,115,5701,2.02,28
2008-2009,200921,5/30/2009,Nrothern,5,771,0.65,8
2008-200y9,200921,5/30/2009,Upper Southern,48,2750,1.75,20
2008-2009,200922,6/6/2009,Bay dArea,72,2719,2.65,16
2008-2009,200922,6/6/2009,Califronia,295,14471,2.04,84
2008-2009,200922,6/6/2009,Central,20,1038,1.93,9
2008-2009,200922,6/6/2009,Lower Southern,157,6454,2.43,30
2008-2009,200922,6/6/2009,Nortahern,4,902,0.44,7
2008-2009,200922,6/6/2009,Upper Southern***,42,3358,1.25,22
2008-2009,200923,6/13/2009,Bay Area,60,2614,2.3,17
008-2009,200923,6/3/2009,California,245,12449,1.97,79
2008-2009,200923,6/13/2009,Central,18,880,2.05,9
2008s-2009,200923,6/13/2009,Lower Southern,138,5801,2.38,26
2008-0209,200923,6/13/2009,Northern,7,849,0.82,8
2008-209,200923,6/13/2009,Upper Southern,22,2305,0.95,19
2008-2009,200924,6/20/2009,Bay Aea,41,1369,2.99,14
